t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.00728,0.216716,-0.0224744,-0.0235429,-0.0241977,-0.0356663,-0.0660156,-3.46945e-18,-0.392279,1.45756,0.108548,0.0785237,0.0870078,-0.0145597,
5.01629,0.217048,-0.0223387,-0.0236886,-0.0241977,0.000135644,-0.000145793,1.04083e-17,-0.392279,1.45756,0.108548,0.0785237,0.0870078,-0.0145597,
5.02907,0.217578,-0.0220091,-0.0247503,-0.0241977,0.000329582,-0.00106164,-1.38778e-17,-0.39224,1.45755,0.108701,0.0786226,0.0870447,-0.0136178,
5.03715,0.217876,-0.022069,-0.0248013,-0.0241977,-5.98658e-05,-5.10105e-05,0,-0.392262,1.4576,0.108601,0.0786712,0.0863604,-0.0159995,
5.04733,0.218239,-0.022108,-0.0246686,-0.0241977,-3.89632e-05,0.000132674,1.38778e-17,-0.392237,1.45756,0.108617,0.0808005,0.087974,-0.0145853,
5.05888,0.218391,-0.0226816,-0.0251082,-0.0241977,-0.000573623,-0.000439543,-1.04083e-17,-0.392167,1.45757,0.108669,0.0798865,0.0866876,-0.0146687,
5.0693,0.218826,-0.0224766,-0.0248158,-0.0241977,0.000205039,0.000292354,-6.93889e-18,-0.392186,1.45753,0.108736,0.0777827,0.0846499,-0.0158387,
5.07656,0.219419,-0.0217644,-0.0240338,-0.0241977,0.000712173,0.000782014,6.93889e-18,-0.392298,1.45744,0.108819,0.0794716,0.0870273,-0.0158711,
5.08697,0.219548,-0.0222317,-0.0246486,-0.0241977,-0.000467304,-0.000614836,-6.93889e-18,-0.392255,1.45748,0.108929,0.0779874,0.0860349,-0.0157844,
5.09996,0.220109,-0.0193371,-0.0224899,-0.0241977,0.0028946,0.00215874,6.93889e-18,-0.392204,1.45754,0.109081,0.0737274,0.0839475,-0.016093,
5.10633,0.220654,-0.0182794,-0.0220133,-0.0241977,0.0010577,0.00047654,-3.46945e-18,-0.392463,1.45764,0.10911,0.077215,0.0852854,-0.0164041,
5.11684,0.220788,-0.0191811,-0.0223378,-0.0241977,-0.000901655,-0.000324419,0,-0.392601,1.45774,0.109137,0.0772132,0.0840733,-0.0168918,
5.13113,0.220715,-0.0215784,-0.0222548,-0.0241977,-0.0023973,8.29366e-05,-3.46945e-18,-0.392719,1.45771,0.10916,0.0749977,0.0810999,-0.0167934,
5.13678,0.221255,-0.0210612,-0.0215196,-0.0241977,0.000517149,0.000735193,0,-0.392896,1.45766,0.109306,0.073158,0.081604,-0.0164907,
5.14637,0.221616,-0.0206304,-0.021659,-0.0241977,0.000430769,-0.000139371,0,-0.392979,1.45768,0.109365,0.0730176,0.080223,-0.0165589,
5.15826,0.221998,-0.0206284,-0.0213269,-0.0241977,2.07548e-06,0.000332072,6.93889e-18,-0.393033,1.45771,0.109523,0.0738653,0.0804385,-0.016174,
5.16889,0.222628,-0.0192734,-0.0204207,-0.0241977,0.001355,0.000906221,0,-0.393139,1.45772,0.109645,0.0733984,0.0796677,-0.0160229,
5.17698,0.222988,-0.0191845,-0.0202393,-0.0241977,8.88289e-05,0.00018139,-3.46945e-18,-0.393214,1.45769,0.109719,0.0724535,0.079545,-0.015708,
5.18674,0.223343,-0.0189762,-0.0202318,-0.0241977,0.000208374,7.50456e-06,3.46945e-18,-0.39325,1.45767,0.109968,0.0696522,0.0789345,-0.01422,
5.20007,0.222618,-0.020089,-0.0198049,-0.0241977,-0.00111286,0.000426928,3.46945e-18,-0.393475,1.4575,0.110275,0.0689464,0.0745454,-0.0134054,
5.20665,0.223054,-0.0199696,-0.0186618,-0.0241977,0.000119389,0.00114314,-6.93889e-18,-0.393515,1.4575,0.1105,0.0699337,0.0754543,-0.0135496,
5.21737,0.223281,-0.0202515,-0.0189179,-0.0241977,-0.000281851,-0.000256103,0,-0.393631,1.45741,0.110875,0.0670288,0.0720829,-0.0135766,
5.23137,0.22073,-0.0212788,-0.0187775,-0.0241977,-0.00102732,0.00014038,3.46945e-18,-0.393809,1.45737,0.111524,0.0638366,0.070101,-0.0130523,
5.23641,0.221183,-0.0205004,-0.0182722,-0.0241977,0.000778391,0.000505234,0,-0.393802,1.45734,0.111812,0.0610664,0.0670196,-0.0122365,
5.24694,0.221686,-0.0198308,-0.017514,-0.0241977,0.000669571,0.000758246,-1.04083e-17,-0.393945,1.45715,0.112438,0.0577779,0.0637138,-0.0116837,
5.25709,0.222171,-0.0190469,-0.0166685,-0.0241977,0.000783946,0.00084548,1.04083e-17,-0.394078,1.45692,0.113184,0.0566229,0.0625965,-0.0127172,
5.26975,0.218717,-0.0185107,-0.0159388,-0.0241977,0.000536216,0.000729687,-3.46945e-18,-0.394046,1.45677,0.113878,0.0596462,0.0629583,-0.0119619,
5.27649,0.218846,-0.0193175,-0.016049,-0.0241977,-0.00080679,-0.000110154,6.93889e-18,-0.394102,1.45659,0.114741,0.0595697,0.0654383,-0.0107633,
5.28685,0.218996,-0.0193419,-0.016685,-0.0241977,-2.43982e-05,-0.000636001,0,-0.39429,1.45647,0.115651,0.0631446,0.0669178,-0.0113821,
5.29923,0.216612,-0.0200326,-0.0153102,-0.0241977,-0.000690695,0.00137482,-6.93889e-18,-0.394307,1.45629,0.116673,0.0605262,0.0656397,-0.0126321,
5.30635,0.216949,-0.0194318,-0.0150137,-0.0241977,0.000600766,0.000296423,-3.46945e-18,-0.394425,1.45617,0.11754,0.0603125,0.0634131,-0.0117203,
5.31715,0.217255,-0.0194221,-0.0144531,-0.0241977,9.71047e-06,0.000560618,3.46945e-18,-0.394425,1.45617,0.11754,0.0603125,0.0634131,-0.0117203,
5.33378,0.214238,-0.0225477,-0.0161383,-0.0241977,-0.00312561,-0.00168515,6.93889e-18,-0.394425,1.45617,0.11754,0.0603125,0.0634131,-0.0117203,
5.33821,0.214561,-0.0225779,-0.016166,-0.0241977,-3.0178e-05,-2.7681e-05,-3.46945e-18,-0.39471,1.4551,0.122045,0.0500474,0.0499338,-0.0149656,
