t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.03177,0.218227,-0.00466521,0.0015542,0.0234005,0.00238566,0.00718052,6.93889e-18,0.00405343,0.027467,0.0630594,0.0152229,-0.00600719,0.0335809,
5.03182,0.220146,-0.00324769,0.000293638,0.0234005,0.00141751,-0.00126056,-3.46945e-18,0.00405343,0.027467,0.0630594,0.0152229,-0.00600719,0.0335809,
5.03797,0.220466,-0.00340932,0.000173609,0.0234005,-0.000161625,-0.000120029,-6.93889e-18,0.00412538,0.0274256,0.0631174,0.0141313,-0.00566422,0.0335857,
5.04941,0.220792,-0.00341574,0.000175527,0.0234005,-6.42009e-06,1.91802e-06,6.93889e-18,0.00419741,0.0274277,0.0631379,0.0145579,-0.00573507,0.0335551,
5.06765,0.221112,-0.00325888,8.43566e-05,0.0234005,0.000156858,-9.117e-05,0,0.00415132,0.0274098,0.0631616,0.0158073,-0.00537597,0.0329714,
5.06878,0.221148,-0.00288028,0.00186717,0.0234005,0.000378603,0.00178281,0,0.00407931,0.0272962,0.0631965,0.0173682,-0.00474968,0.0331592,
5.07844,0.221462,-0.00330478,0.00172061,0.0234005,-0.000424501,-0.000146562,-3.46945e-18,0.00413267,0.0272373,0.0632598,0.0217258,-0.00504339,0.0324248,
5.08837,0.221786,-0.00331176,0.00172294,0.0234005,-6.98032e-06,2.33232e-06,3.46945e-18,0.00417612,0.0270138,0.0635522,0.0228608,-0.00351629,0.0325933,
5.1015,0.220283,-0.00902583,0.000188333,0.0234005,-0.00571407,-0.00153461,-3.46945e-18,0.0042358,0.0266917,0.0639114,0.0233354,-0.00138896,0.0334768,
5.10831,0.220517,-0.00953185,-0.000603692,0.0234005,-0.000506019,-0.000792025,3.46945e-18,0.00432898,0.0265019,0.0640961,0.0302095,-0.0011508,0.0325653,
5.11835,0.220843,-0.00954394,-0.000603586,0.0234005,-1.20952e-05,1.06384e-07,0,0.00428813,0.0262861,0.0643237,0.0331385,-0.000509061,0.0318942,
5.13278,0.219724,-0.0124449,0.000647271,0.0234005,-0.002901,0.00125086,3.46945e-18,0.00418917,0.0258077,0.0648347,0.0377462,0.000907172,0.0310442,
5.13811,0.219854,-0.0137046,0.000301346,0.0234005,-0.00125968,-0.000345925,-6.93889e-18,0.00416149,0.0255013,0.0653423,0.0390099,0.00196667,0.0314872,
5.14798,0.220091,-0.0140906,3.76142e-05,0.0234005,-0.000385967,-0.000263732,-3.46945e-18,0.00412557,0.0253449,0.0655023,0.0402799,0.00230514,0.0306057,
5.16455,0.218564,-0.0158593,0.00186575,0.0234005,-0.00176871,0.00182814,3.46945e-18,0.00406196,0.0247044,0.0666377,0.0353386,0.00550044,0.0319113,
5.16903,0.218843,-0.0150723,0.000990662,0.0234005,0.000786975,-0.000875089,0,0.00396711,0.0244342,0.0673029,0.0327068,0.0048064,0.0318203,
5.1783,0.219161,-0.0144651,0.00118286,0.0234005,0.00060721,0.0001922,-3.46945e-18,0.00367095,0.0240848,0.0680955,0.0292981,0.00556725,0.0314969,
5.18991,0.219479,-0.0136705,0.00103687,0.0234005,0.000794582,-0.000145992,3.46945e-18,0.00324855,0.0237879,0.068939,0.0291012,0.0084812,0.0308218,
5.20109,0.216796,-0.015052,0.00254869,0.0234005,-0.00138147,0.00151182,3.46945e-18,0.00319532,0.0233857,0.0695405,0.0272715,0.00416902,0.03002,
5.20856,0.217085,-0.0146755,0.003639,0.0234005,0.0003765,0.00109031,-3.46945e-18,0.00285584,0.022743,0.0710163,0.0272319,0.00399515,0.0288617,
5.2248,0.217249,-0.014781,0.00373382,0.0234005,-0.000105536,9.48238e-05,3.46945e-18,0.0026404,0.0222505,0.0723558,0.0239124,0.00612092,0.0294615,
5.23622,0.211192,-0.0194893,0.00471902,0.0234005,-0.00470821,0.000985201,3.46945e-18,0.00242292,0.021772,0.0737294,0.0235389,0.0088026,0.029202,
5.24485,0.211388,-0.0194859,0.00409847,0.0234005,3.32268e-06,-0.000620551,-3.46945e-18,0.00209716,0.0213174,0.0753493,0.0234311,0.0137618,0.0287689,
5.25843,0.211552,-0.019542,0.00293495,0.0234005,-5.61119e-05,-0.00116352,-3.46945e-18,0.00173867,0.0207783,0.0771921,0.0239827,0.016698,0.0284877,
5.27115,0.206662,-0.0176291,0.00429942,0.0234005,0.00191293,0.00136447,-3.46945e-18,0.00173867,0.0207783,0.0771921,0.0239827,0.016698,0.0284877,
5.27477,0.207024,-0.0176482,0.00429666,0.0234005,-1.91191e-05,-2.76412e-06,6.93889e-18,0.00173867,0.0207783,0.0771921,0.0239827,0.016698,0.0284877,
5.28363,0.207311,-0.0176634,0.00429445,0.0234005,-1.52109e-05,-2.20697e-06,-3.46945e-18,0.000549028,0.0191765,0.0837249,0.028548,0.0129727,0.0292156,
5.29263,0.202788,-0.0175358,0.00682652,0.0234005,0.000127598,0.00253207,0,0.000116747,0.018708,0.0861946,0.0278533,0.0103741,0.0291819,
5.30162,0.202842,-0.0174502,0.00750276,0.0234005,8.55979e-05,0.000676242,3.46945e-18,-0.000414751,0.0181308,0.0886971,0.0262288,0.00992649,0.0301561,
5.3154,0.202935,-0.017158,0.00770333,0.0234005,0.000292271,0.00020057,0,-0.000968626,0.0175949,0.0915683,0.0241853,0.00826288,0.0297134,
5.31872,0.202987,-0.0167711,0.00817824,0.0234005,0.000386891,0.000474904,3.46945e-18,-0.00145124,0.0169879,0.0944347,0.0235198,0.00696837,0.0302969,
5.32896,0.197973,-0.0199548,0.00921216,0.0234005,-0.00318376,0.00103392,-3.46945e-18,-0.00199575,0.016345,0.0974638,0.0243382,0.00514636,0.0294045,
5.34211,0.197917,-0.0202443,0.00970247,0.0234005,-0.000289446,0.000490316,3.46945e-18,-0.00230985,0.015951,0.0996546,0.0248174,0.00762653,0.0300591,
5.34871,0.198017,-0.0204129,0.0091999,0.0234005,-0.000168666,-0.000502571,-3.46945e-18,-0.00293796,0.0151256,0.103905,0.0228585,0.00812829,0.030377,
5.36275,0.193297,-0.022212,0.00966063,0.0234005,-0.00179907,0.00046073,6.93889e-18,-0.00345703,0.0145166,0.107297,0.0244575,0.010831,0.0312994,
5.36981,0.193226,-0.0226436,0.00915956,0.0234005,-0.000431534,-0.000501073,-1.04083e-17,-0.0040084,0.0137871,0.110692,0.0224912,0.0122924,0.0307075,
5.38479,0.193263,-0.0223284,0.00891848,0.0234005,0.000315129,-0.00024108,6.93889e-18,-0.00451262,0.0130929,0.114277,0.0226201,0.0132505,0.0313593,
5.38851,0.190905,-0.0215612,0.0120666,0.0234005,0.000767212,0.00314814,-6.93889e-18,-0.00514958,0.0123672,0.117708,0.0209171,0.0146282,0.0302404,
5.39908,0.190931,-0.0213155,0.0118542,0.0234005,0.00024575,-0.000212443,3.46945e-18,-0.00567372,0.0116611,0.121306,0.0189722,0.0149797,0.031685,
5.41174,0.190933,-0.0209813,0.0118825,0.0234005,0.000334115,2.83583e-05,3.46945e-18,-0.00633914,0.0109823,0.124626,0.0178596,0.0165593,0.0315912,
5.41888,0.190953,-0.0208434,0.0116443,0.0234005,0.000137932,-0.000238242,3.46945e-18,-0.00703222,0.0103066,0.128048,0.0193026,0.0174222,0.0334922,
5.43331,0.191489,-0.0243358,0.0108478,0.0234005,-0.00349238,-0.000796447,0,-0.00767601,0.00958349,0.131404,0.0172833,0.0176306,0.0348886,
5.43877,0.19152,-0.0239885,0.0109298,0.0234005,0.000347256,8.19784e-05,-6.93889e-18,-0.00814576,0.00874336,0.134871,0.0137554,0.0133634,0.0330967,
5.44851,0.191533,-0.0233706,0.0119101,0.0234005,0.000617934,0.00098031,0,-0.0087367,0.00795201,0.138063,0.0134506,0.0134292,0.0328717,
5.46345,0.19152,-0.0234262,0.0119875,0.0234005,-5.56439e-05,7.73926e-05,3.46945e-18,-0.00950257,0.00742857,0.141232,0.0172411,0.0161035,0.0326017,
5.46949,0.193782,-0.0236249,0.0122354,0.0234005,-0.000198665,0.000247902,0,-0.0100129,0.00660442,0.144439,0.0101969,0.0147549,0.0337951,
5.47929,0.193981,-0.0221877,0.0126408,0.0234005,0.00143717,0.000405396,-6.93889e-18,-0.0105619,0.00585392,0.147459,0.0100277,0.013993,0.0332377,
5.48863,0.193967,-0.0222716,0.0128896,0.0234005,-8.38858e-05,0.000248808,0,-0.0111712,0.0051013,0.150504,0.0121346,0.014633,0.0335692,
5.50206,0.195686,-0.0239467,0.0126219,0.0234005,-0.00167511,-0.000267772,6.93889e-18,-0.0117536,0.00424107,0.153479,0.0134445,0.0135691,0.0330617,
5.50811,0.195619,-0.0243749,0.0129454,0.0234005,-0.000428166,0.000323525,3.46945e-18,-0.0124132,0.00351085,0.156416,0.0153068,0.0141453,0.0328141,
5.51881,0.195563,-0.0249024,0.0129178,0.0234005,-0.000527472,-2.75619e-05,-1.04083e-17,-0.0129736,0.00283298,0.159163,0.0142947,0.0122788,0.0335092,
5.5333,0.197228,-0.0224558,0.0148405,0.0234005,0.00244658,0.00192263,0,-0.0133678,0.00232777,0.160916,0.0134962,0.0112123,0.033273,
5.53813,0.197366,-0.0223642,0.0151446,0.0234005,9.15406e-05,0.000304137,6.93889e-18,-0.0143721,0.00133818,0.164316,0.0114969,0.0138055,0.0336422,
5.54963,0.197434,-0.0220605,0.0147284,0.0234005,0.000303784,-0.000416203,-3.46945e-18,-0.0150603,0.000657804,0.166806,0.0116309,0.01432,0.0346701,
5.56434,0.197491,-0.0221815,0.0147409,0.0234005,-0.000121083,1.25506e-05,3.46945e-18,-0.0154736,8.94765e-05,0.168454,0.0106136,0.0147324,0.0342572,
5.56876,0.201427,-0.0251789,0.0134824,0.0234005,-0.0029974,-0.00125855,0,-0.0154736,8.94765e-05,0.168454,0.0106136,0.0147324,0.0342572,
5.57922,0.201752,-0.025197,0.0134861,0.0234005,-1.80306e-05,3.68972e-06,-3.46945e-18,-0.0168265,-0.00188465,0.173816,0.01176,0.0113763,0.033601,
5.58897,0.203576,-0.0260228,0.0146713,0.0234005,-0.000825859,0.00118527,0,-0.0175521,-0.00264804,0.1759,0.0127129,0.0136116,0.0339187,
5.6017,0.203675,-0.0263639,0.0142742,0.0234005,-0.000341075,-0.000397162,3.46945e-18,-0.0181552,-0.00335639,0.177967,0.00898631,0.0140765,0.0342982,
5.60851,0.203921,-0.0256084,0.014276,0.0234005,0.000755473,1.82012e-06,-6.93889e-18,-0.0187213,-0.00411359,0.179826,0.0114174,0.0152282,0.0335286,
5.61865,0.203971,-0.0263096,0.0140846,0.0234005,-0.000701204,-0.000191358,3.46945e-18,-0.0194518,-0.00494215,0.181752,0.0118478,0.0159103,0.0329998,
5.63449,0.206746,-0.02504,0.0155039,0.0234005,0.0012696,0.00141925,0,-0.0200535,-0.00581162,0.183563,0.00813709,0.0163069,0.0339541,
5.63904,0.20701,-0.0242902,0.0155317,0.0234005,0.000749825,2.77804e-05,3.46945e-18,-0.0206822,-0.00656743,0.185255,0.0087095,0.0165942,0.0343543,
5.64912,0.207135,-0.0245439,0.0155762,0.0234005,-0.000253661,4.45494e-05,3.46945e-18,-0.0214528,-0.00736077,0.186908,0.010485,0.0160512,0.0330336,
5.66579,0.207204,-0.0251158,0.0158088,0.0234005,-0.000571934,0.00023252,0,-0.0221425,-0.00814156,0.188557,0.00752832,0.0162717,0.0330649,
5.66911,0.210464,-0.0250081,0.015774,0.0234005,0.000107702,-3.47468e-05,-1.38778e-17,-0.0226914,-0.00885096,0.190058,0.00861115,0.0156317,0.0338885,
5.67798,0.210573,-0.0253744,0.0160384,0.0234005,-0.000366332,0.000264348,6.93889e-18,-0.0231401,-0.00930682,0.191023,0.00997186,0.0148478,0.032356,
5.68851,0.210764,-0.0258836,0.016289,0.0234005,-0.000509139,0.000250635,0,-0.0240411,-0.0104421,0.193064,0.00566488,0.0172711,0.0327651,
5.70162,0.212192,-0.0284753,0.0154456,0.0234005,-0.00259169,-0.000843357,-6.93889e-18,-0.0243983,-0.0109439,0.193951,0.00438545,0.017595,0.0341994,
5.70894,0.212476,-0.0282316,0.0154618,0.0234005,0.000243713,1.6174e-05,1.04083e-17,-0.0253459,-0.0119398,0.195574,0.00372315,0.0180532,0.0344789,
5.71867,0.212657,-0.028229,0.0155154,0.0234005,2.52335e-06,5.35795e-05,0,-0.0260067,-0.0127321,0.196839,0.00281159,0.0177069,0.0338184,
5.73284,0.212873,-0.0281514,0.0156987,0.0234005,7.76036e-05,0.000183267,-3.46945e-18,-0.0266801,-0.0134846,0.197957,0.00617347,0.0163393,0.0318116,
5.74272,0.215245,-0.0255899,0.0178891,0.0234005,0.00256152,0.00219041,-3.46945e-18,-0.0273436,-0.0143714,0.19922,0.00483334,0.0185326,0.033624,
5.74882,0.215525,-0.0253753,0.0174941,0.0234005,0.000214658,-0.00039501,6.93889e-18,-0.027976,-0.0150252,0.200375,0.00432281,0.0175057,0.0341177,
5.76621,0.21572,-0.0253507,0.017869,0.0234005,2.46032e-05,0.00037492,0,-0.0286157,-0.0157617,0.201364,0.0034761,0.0170238,0.0338591,
5.76952,0.216962,-0.0275924,0.0178284,0.0234005,-0.00224178,-4.05839e-05,-6.93889e-18,-0.0293221,-0.0165436,0.202514,0.00470005,0.0164026,0.033842,
5.77919,0.217101,-0.0280309,0.0181047,0.0234005,-0.000438512,0.000276342,3.46945e-18,-0.0300287,-0.0173409,0.203661,0.00432058,0.0170492,0.0334274,
5.78919,0.217327,-0.0280803,0.0180547,0.0234005,-4.93065e-05,-5.00139e-05,-1.04083e-17,-0.0307674,-0.0179722,0.204642,0.0070107,0.0208899,0.0342678,
5.80208,0.217724,-0.0292155,0.0165249,0.0234005,-0.00113525,-0.00152984,1.04083e-17,-0.0314117,-0.0187521,0.205666,0.00709998,0.0191295,0.0339828,
5.80836,0.217898,-0.0293768,0.0170737,0.0234005,-0.000161336,0.000548843,-3.46945e-18,-0.0321099,-0.0195297,0.206848,0.00199939,0.0196108,0.0348953,
5.81874,0.218223,-0.0293947,0.0170771,0.0234005,-1.78167e-05,3.33594e-06,6.93889e-18,-0.0328123,-0.0201931,0.207897,0.00161212,0.0201106,0.0353288,
5.83446,0.218016,-0.0255601,0.0179296,0.0234005,0.00383455,0.00085257,-1.04083e-17,-0.033575,-0.0209125,0.209097,0.00111616,0.0220029,0.034214,
5.83875,0.218264,-0.0255795,0.0175577,0.0234005,-1.94031e-05,-0.000371892,6.93889e-18,-0.0340216,-0.021399,0.209817,0.00207351,0.0211898,0.0344705,
5.84879,0.218461,-0.0259024,0.0178458,0.0234005,-0.00032291,0.000288044,0,-0.0347864,-0.0220505,0.21089,0.00753494,0.0208606,0.0335936,
5.86856,0.218198,-0.0270491,0.0203314,0.0234005,-0.00114668,0.00248564,-3.46945e-18,-0.0357929,-0.0234601,0.213039,0.00192801,0.020363,0.0338158,
5.86867,0.218463,-0.0265394,0.0201736,0.0234005,0.000509705,-0.000157775,0,-0.0357929,-0.0234601,0.213039,0.00192801,0.020363,0.0338158,
5.87848,0.218789,-0.026555,0.0201777,0.0234005,-1.56553e-05,4.02341e-06,3.46945e-18,-0.0357929,-0.0234601,0.213039,0.00192801,0.020363,0.0338158,
