t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.01296,0.216641,-0.0282904,-0.0147591,-0.016368,-0.0684261,-0.0343058,0,-0.464567,1.8141,0.111269,0.104067,0.0565806,-0.00713977,
5.02254,0.216965,-0.0283363,-0.0147836,-0.016368,-4.5866e-05,-2.44816e-05,0,-0.464567,1.8141,0.111269,0.104067,0.0565806,-0.00713977,
5.03533,0.217177,-0.0287189,-0.0150919,-0.016368,-0.00038264,-0.000308253,3.46945e-18,-0.46437,1.81414,0.111234,0.104469,0.0566342,-0.00607573,
5.0412,0.21742,-0.0290308,-0.015325,-0.016368,-0.000311846,-0.000233137,-3.46945e-18,-0.46437,1.81414,0.111234,0.104469,0.0566342,-0.00607573,
5.05178,0.217799,-0.0289062,-0.0151848,-0.016368,0.000124597,0.000140172,0,-0.464344,1.81405,0.111253,0.104835,0.0570437,-0.00618101,
5.0663,0.218525,-0.0278729,-0.0168449,-0.016368,0.00103323,-0.00166002,0,-0.464302,1.81413,0.11141,0.100701,0.0569766,-0.00693038,
5.07117,0.219055,-0.0268677,-0.0168713,-0.016368,0.00100526,-2.64545e-05,0,-0.464302,1.81413,0.11141,0.100701,0.0569766,-0.00693038,
5.0814,0.219376,-0.0269118,-0.0168971,-0.016368,-4.41082e-05,-2.58341e-05,-3.46945e-18,-0.464424,1.81416,0.111474,0.0997738,0.05722,-0.00689598,
5.09778,0.219302,-0.0255964,-0.0151466,-0.016368,0.00131535,0.00175058,6.93889e-18,-0.46451,1.81439,0.111447,0.0961128,0.0552455,-0.00511715,
5.10135,0.219927,-0.024441,-0.014629,-0.016368,0.00115538,0.00051756,-3.46945e-18,-0.46451,1.81439,0.111447,0.0961128,0.0552455,-0.00511715,
5.11186,0.220196,-0.024727,-0.0146891,-0.016368,-0.000285926,-6.00886e-05,-3.46945e-18,-0.46451,1.81439,0.111447,0.0961128,0.0552455,-0.00511715,
5.12108,0.220963,-0.0235671,-0.0147045,-0.016368,0.00115983,-1.53737e-05,3.46945e-18,-0.46469,1.8147,0.111645,0.0899055,0.0550776,-0.00322835,
5.1343,0.221562,-0.0219775,-0.0146722,-0.016368,0.00158962,3.22977e-05,0,-0.464786,1.81499,0.111739,0.0848098,0.0548052,-0.00279843,
5.14087,0.222012,-0.0212221,-0.0146722,-0.016368,0.000755439,-6.78657e-09,0,-0.464786,1.81499,0.111739,0.0848098,0.0548052,-0.00279843,
5.1561,0.222769,-0.0203159,-0.0155808,-0.016368,0.000906218,-0.000908668,-6.93889e-18,-0.464772,1.81534,0.111766,0.0779854,0.0566608,-0.00152004,
5.16766,0.223308,-0.0185338,-0.0161047,-0.016368,0.00178207,-0.000523866,-3.46945e-18,-0.464792,1.81539,0.111938,0.0767212,0.0582432,-0.00232569,
5.1757,0.223612,-0.0182279,-0.0165368,-0.016368,0.000305929,-0.000432126,1.04083e-17,-0.464705,1.81549,0.112058,0.0758828,0.0605359,-0.00163586,
5.18521,0.222502,-0.0174933,-0.0161293,-0.016368,0.000734612,0.000407505,0,-0.464738,1.81549,0.112235,0.0751189,0.0602714,-0.000559598,
5.20184,0.222832,-0.0176735,-0.0159552,-0.016368,-0.000180295,0.000174156,6.93889e-18,-0.464797,1.81554,0.112389,0.0730944,0.0595746,-0.00101779,
5.20928,0.223289,-0.0168327,-0.0159264,-0.016368,0.000840885,2.87934e-05,-6.93889e-18,-0.464708,1.81561,0.112535,0.072446,0.0581623,-0.00103774,
5.21401,0.224283,-0.0173144,-0.015866,-0.016368,-0.000481751,6.03404e-05,0,-0.464685,1.8156,0.112756,0.0715257,0.057736,-0.00101673,
5.22257,0.224626,-0.0171059,-0.015784,-0.016368,0.000208542,8.20645e-05,0,-0.464685,1.8156,0.112756,0.0715257,0.057736,-0.00101673,
5.23217,0.224949,-0.0171363,-0.0158096,-0.016368,-3.04354e-05,-2.55965e-05,0,-0.464703,1.81559,0.11293,0.0710128,0.0565167,-0.00115865,
5.24976,0.225308,-0.0170361,-0.0155123,-0.016368,0.000100197,0.000297278,3.46945e-18,-0.464934,1.81565,0.113535,0.0730671,0.057803,0.00101486,
5.25157,0.224204,-0.0187139,-0.0149201,-0.016368,-0.00167783,0.000592222,-3.46945e-18,-0.464934,1.81565,0.113535,0.0730671,0.057803,0.00101486,
5.2622,0.224526,-0.0187455,-0.0149452,-0.016368,-3.16092e-05,-2.50986e-05,0,-0.46504,1.81561,0.113784,0.0712801,0.0571855,0.000940148,
5.2758,0.224909,-0.0183177,-0.0147928,-0.016368,0.00042782,0.000152417,0,-0.465109,1.81554,0.11446,0.0697224,0.0590696,0.00203452,
5.28179,0.225144,-0.0184585,-0.0151509,-0.016368,-0.000140761,-0.00035819,-3.46945e-18,-0.465109,1.81554,0.11446,0.0697224,0.0590696,0.00203452,
5.2963,0.223218,-0.0238392,-0.0153315,-0.016368,-0.00538066,-0.000180508,3.46945e-18,-0.46533,1.81516,0.115456,0.0689956,0.0609249,0.00328351,
5.30341,0.223404,-0.0237319,-0.0157904,-0.016368,0.000107291,-0.000458995,0,-0.465351,1.81506,0.115738,0.0716909,0.0607391,0.00368265,
5.31663,0.223727,-0.0237649,-0.015817,-0.016368,-3.3055e-05,-2.6599e-05,3.46945e-18,-0.465536,1.81464,0.116624,0.0713432,0.0586572,0.00393917,
5.32112,0.223971,-0.0227771,-0.0131751,-0.016368,0.000987814,0.00264193,-3.46945e-18,-0.465536,1.81464,0.116624,0.0713432,0.0586572,0.00393917,
5.33187,0.224294,-0.0228103,-0.0131997,-0.016368,-3.32104e-05,-2.45352e-05,0,-0.465609,1.81456,0.117168,0.0691612,0.0577472,0.00391377,
5.34548,0.224674,-0.0222866,-0.0129739,-0.016368,0.000523752,0.00022573,3.46945e-18,-0.465986,1.81399,0.118813,0.0631531,0.0513325,0.00203251,
5.35141,0.222651,-0.0230432,-0.0109917,-0.016368,-0.00075667,0.00198227,-3.46945e-18,-0.465986,1.81399,0.118813,0.0631531,0.0513325,0.00203251,
5.36644,0.223054,-0.0224666,-0.0102923,-0.016368,0.000576601,0.000699396,3.46945e-18,-0.466557,1.81331,0.120439,0.0626608,0.0531817,0.00167655,
5.37126,0.223282,-0.0226901,-0.0101503,-0.016368,-0.000223475,0.000141923,-3.46945e-18,-0.466557,1.81331,0.120439,0.0626608,0.0531817,0.00167655,
5.38203,0.223497,-0.0224942,-0.0107126,-0.016368,0.000195908,-0.000562258,-3.46945e-18,-0.466697,1.81314,0.120954,0.0613306,0.0522183,0.000714481,
5.39234,0.22167,-0.0260875,-0.00862627,-0.016368,-0.00359332,0.00208632,0,-0.467024,1.81283,0.122144,0.0594048,0.0539804,-0.000556561,
5.40232,0.22191,-0.0256687,-0.00905344,-0.016368,0.00041886,-0.000427165,3.46945e-18,-0.467366,1.81236,0.123154,0.0613046,0.0536454,0.000495514,
5.41171,0.222046,-0.0262483,-0.00891363,-0.016368,-0.000579601,0.000139802,0,-0.467366,1.81236,0.123154,0.0613046,0.0536454,0.000495514,
5.42114,0.221169,-0.028644,-0.00870843,-0.016368,-0.00239572,0.000205199,0,-0.467366,1.81236,0.123154,0.0613046,0.0536454,0.000495514,
5.43439,0.221493,-0.0286774,-0.00872923,-0.016368,-3.33883e-05,-2.07982e-05,0,-0.468619,1.81058,0.127473,0.0602462,0.0527761,0.000528897,
5.44119,0.221529,-0.0288557,-0.00842938,-0.016368,-0.000178382,0.000299857,0,-0.468619,1.81058,0.127473,0.0602462,0.0527761,0.000528897,
5.45146,0.220309,-0.028052,-0.00706146,-0.016368,0.000803721,0.00136792,0,-0.469042,1.81006,0.128534,0.0585428,0.0543492,-0.00183852,
5.46625,0.220562,-0.0277363,-0.00743539,-0.016368,0.000315747,-0.000373927,0,-0.469679,1.80898,0.130983,0.0534821,0.0507772,-0.000731578,
5.47133,0.22097,-0.0267668,-0.0069064,-0.016368,0.000969506,0.000528988,3.46945e-18,-0.469679,1.80898,0.130983,0.0534821,0.0507772,-0.000731578,
