t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.00502,0.21875,-0.0225307,-0.0208351,0.0182819,-0.0428216,-0.0625702,0,-0.372229,1.4224,0.109208,0.0872145,0.0850797,0.0283145,
5.01346,0.219073,-0.0225687,-0.0208716,0.0182819,-3.80304e-05,-3.65401e-05,-3.46945e-18,-0.372177,1.42238,0.109114,0.0850734,0.0846418,0.0270001,
5.02775,0.219516,-0.0220748,-0.0208129,0.0182819,0.000493904,5.86592e-05,0,-0.37223,1.42247,0.109202,0.0840912,0.0824029,0.0270115,
5.03463,0.219965,-0.0218536,-0.0202748,0.0182819,0.000221162,0.000538184,0,-0.372242,1.42255,0.10913,0.0844924,0.0832076,0.0278548,
5.04404,0.220248,-0.0219762,-0.0205134,0.0182819,-0.000122547,-0.000238628,0,-0.372268,1.42259,0.109063,0.0837245,0.0832547,0.0277761,
5.05482,0.219387,-0.0235533,-0.02299,0.0182819,-0.00157717,-0.0024766,3.46945e-18,-0.372313,1.42254,0.109052,0.0837164,0.0822307,0.0283814,
5.06466,0.219755,-0.0236002,-0.0227591,0.0182819,-4.69041e-05,0.000230847,3.46945e-18,-0.37241,1.42256,0.109159,0.0839934,0.0834955,0.0287137,
5.07356,0.219998,-0.0236988,-0.0230987,0.0182819,-9.85623e-05,-0.000339524,-3.46945e-18,-0.372415,1.42258,0.109212,0.0833493,0.0824486,0.0292221,
5.08411,0.220182,-0.0235034,-0.0205404,0.0182819,0.00019542,0.00255822,0,-0.372462,1.42262,0.109291,0.0832823,0.0818676,0.029736,
5.09636,0.220528,-0.0235174,-0.0204195,0.0182819,-1.40448e-05,0.000120912,-3.46945e-18,-0.372466,1.42274,0.109368,0.0799963,0.0794683,0.0275446,
5.10372,0.221081,-0.0227085,-0.0198529,0.0182819,0.000808901,0.000566632,-3.46945e-18,-0.372575,1.42275,0.109436,0.079057,0.0789814,0.0277009,
5.11392,0.220836,-0.0207708,-0.0188405,0.0182819,0.00193772,0.00101243,3.46945e-18,-0.372723,1.42266,0.109556,0.0792981,0.0778224,0.0281276,
5.12502,0.221181,-0.0208817,-0.0185513,0.0182819,-0.000110853,0.000289198,0,-0.372764,1.42272,0.109697,0.078475,0.0771709,0.0279665,
5.13439,0.221547,-0.0206972,-0.0184115,0.0182819,0.000184429,0.000139794,3.46945e-18,-0.372915,1.42269,0.109829,0.078284,0.0764807,0.0281736,
5.14322,0.221253,-0.022798,-0.0205563,0.0182819,-0.0021008,-0.00214483,0,-0.372996,1.42278,0.109948,0.0780379,0.0816169,0.0290278,
5.15403,0.221362,-0.0227389,-0.0218907,0.0182819,5.91446e-05,-0.00133441,0,-0.373044,1.42282,0.110099,0.0778206,0.0809807,0.0293335,
5.16452,0.221707,-0.0227122,-0.0217544,0.0182819,2.67225e-05,0.000136303,3.46945e-18,-0.373064,1.42289,0.110326,0.0769082,0.0801854,0.0311339,
5.17353,0.222078,-0.0225021,-0.0215803,0.0182819,0.000210098,0.000174123,-1.04083e-17,-0.373067,1.42274,0.11054,0.0723199,0.0769106,0.0287712,
5.18405,0.222195,-0.0206557,-0.0197076,0.0182819,0.00184639,0.00187271,6.93889e-18,-0.373048,1.42269,0.110733,0.071695,0.0760616,0.0290866,
5.19945,0.222554,-0.0205368,-0.0195243,0.0182819,0.000118841,0.000183309,0,-0.373061,1.42268,0.111016,0.0701724,0.074739,0.0297043,
5.20389,0.222955,-0.020178,-0.0192138,0.0182819,0.000358866,0.000310489,3.46945e-18,-0.373061,1.42268,0.111016,0.0701724,0.074739,0.0297043,
5.21389,0.2231,-0.021231,-0.0188486,0.0182819,-0.00105299,0.000365182,-3.46945e-18,-0.373061,1.42268,0.111016,0.0701724,0.074739,0.0297043,
5.22551,0.223423,-0.0212631,-0.018881,0.0182819,-3.21285e-05,-3.2344e-05,-3.46945e-18,-0.373114,1.42248,0.111626,0.0647063,0.0720213,0.0304531,
5.23516,0.223991,-0.0199123,-0.0182036,0.0182819,0.00135083,0.000677329,6.93889e-18,-0.373036,1.42218,0.111986,0.0608862,0.0643375,0.0286112,
5.24325,0.22401,-0.0199484,-0.015667,0.0182819,-3.61588e-05,0.00253659,-6.93889e-18,-0.373052,1.42204,0.112212,0.0564165,0.0633294,0.0274791,
5.25398,0.224496,-0.0188417,-0.0154379,0.0182819,0.00110671,0.000229161,3.46945e-18,-0.373138,1.422,0.112495,0.0564335,0.0619966,0.02876,
5.26479,0.224831,-0.0188766,-0.0150964,0.0182819,-3.48873e-05,0.000341483,-3.46945e-18,-0.37324,1.42179,0.112798,0.0538704,0.0594237,0.0283558,
5.27398,0.225284,-0.0182704,-0.0144348,0.0182819,0.0006062,0.000661626,3.46945e-18,-0.373225,1.42165,0.113122,0.0537667,0.0564351,0.0277849,
5.2838,0.223294,-0.022698,-0.0157822,0.0182819,-0.00442765,-0.00134742,0,-0.373338,1.42155,0.113537,0.053075,0.0547175,0.0286597,
5.29647,0.223652,-0.0225631,-0.0153341,0.0182819,0.000134941,0.000448113,0,-0.373454,1.42123,0.113946,0.0535118,0.051671,0.0273367,
5.3042,0.223999,-0.0227556,-0.0145496,0.0182819,-0.000192539,0.000784492,0,-0.373457,1.42108,0.114587,0.05464,0.0500388,0.0277677,
5.31392,0.222166,-0.0231443,-0.01292,0.0182819,-0.000388687,0.0016296,3.46945e-18,-0.373493,1.42072,0.115231,0.0532625,0.0483571,0.0285319,
5.32416,0.222514,-0.0228729,-0.0124915,0.0182819,0.000271426,0.000428492,-3.46945e-18,-0.373452,1.42063,0.116008,0.0528872,0.0466676,0.0296035,
5.33478,0.222809,-0.0228148,-0.0120686,0.0182819,5.80925e-05,0.000422911,0,-0.373554,1.42031,0.116711,0.0519224,0.0461666,0.0269741,
5.34349,0.221697,-0.0212431,-0.00993225,0.0182819,0.00157176,0.00213633,0,-0.373707,1.42003,0.117408,0.0559794,0.049555,0.0304174,
5.35396,0.221716,-0.0223355,-0.0107683,0.0182819,-0.00109247,-0.000836023,-6.93889e-18,-0.373956,1.41988,0.118034,0.0613873,0.0607004,0.0325786,
5.3651,0.221489,-0.0237417,-0.0135945,0.0182819,-0.00140613,-0.00282624,3.46945e-18,-0.373989,1.41952,0.118833,0.0603726,0.0612663,0.0307228,
5.37336,0.221726,-0.0235639,-0.0137634,0.0182819,0.000177729,-0.000168858,3.46945e-18,-0.373872,1.41931,0.119608,0.0562768,0.0565706,0.0301403,
5.38409,0.218942,-0.0276043,-0.0135519,0.0182819,-0.0040404,0.000211469,-3.46945e-18,-0.374143,1.41894,0.12076,0.0576422,0.0622308,0.0311279,
5.39945,0.218913,-0.0280126,-0.0149465,0.0182819,-0.000408285,-0.00139461,3.46945e-18,-0.374272,1.41862,0.12183,0.0537998,0.060999,0.0314346,
5.40411,0.219332,-0.027119,-0.0146328,0.0182819,0.000893636,0.000313674,0,-0.374452,1.41839,0.122878,0.0558211,0.0612918,0.0304225,
5.41402,0.218674,-0.0241195,-0.0124938,0.0182819,0.00299949,0.00213906,0,-0.374655,1.41781,0.124225,0.0499812,0.061335,0.0322514,
5.42546,0.219083,-0.0227514,-0.0124787,0.0182819,0.00136811,1.50978e-05,0,-0.374675,1.41745,0.125395,0.0467636,0.0564201,0.0309361,
5.43378,0.219525,-0.0220233,-0.0112534,0.0182819,0.000728085,0.00122525,-3.46945e-18,-0.37467,1.41719,0.12651,0.0429758,0.0491942,0.0295868,
5.4434,0.220028,-0.0211353,-0.00943867,0.0182819,0.000887969,0.00181475,1.04083e-17,-0.375136,1.41681,0.128268,0.0492874,0.0543681,0.0329955,
5.45448,0.217252,-0.0245554,-0.0106486,0.0182819,-0.00342012,-0.00120989,-6.93889e-18,-0.375294,1.4164,0.129551,0.0493318,0.0539952,0.0330929,
5.46515,0.217442,-0.0246478,-0.0105384,0.0182819,-9.23255e-05,0.000110137,0,-0.37535,1.41569,0.13119,0.0450995,0.0450733,0.0303721,
5.47363,0.217937,-0.0237345,-0.00831321,0.0182819,0.000913281,0.00222522,-3.46945e-18,-0.375467,1.41522,0.132702,0.0439281,0.0412892,0.0283914,
5.48339,0.216624,-0.0274971,-0.00784854,0.0182819,-0.00376266,0.00046467,-3.46945e-18,-0.375662,1.41475,0.134484,0.0463305,0.0391968,0.0309337,
5.50038,0.216696,-0.0281781,-0.00725885,0.0182819,-0.000680921,0.000589687,6.93889e-18,-0.376,1.41371,0.137354,0.0384441,0.0373767,0.0287043,
5.50463,0.216746,-0.028412,-0.007405,0.0182819,-0.000233901,-0.000146146,-6.93889e-18,-0.376,1.41371,0.137354,0.0384441,0.0373767,0.0287043,
5.51385,0.216736,-0.0263672,-0.00592044,0.0182819,0.00204476,0.00148455,0,-0.376,1.41371,0.137354,0.0384441,0.0373767,0.0287043,
5.52408,0.217061,-0.026393,-0.00593494,0.0182819,-2.57812e-05,-1.44968e-05,3.46945e-18,-0.376,1.41371,0.137354,0.0384441,0.0373767,0.0287043,
5.53401,0.217385,-0.0264186,-0.00594937,0.0182819,-2.56342e-05,-1.44268e-05,3.46945e-18,-0.376243,1.4121,0.142637,0.0292394,0.0482652,0.0348103,
5.54395,0.216507,-0.0235781,-0.0086556,0.0182819,0.00284056,-0.00270623,0,-0.376318,1.41156,0.144392,0.0293176,0.047443,0.0350761,
5.55424,0.216652,-0.0236935,-0.00843851,0.0182819,-0.000115452,0.000217095,0,-0.376577,1.41087,0.146065,0.0283926,0.0496334,0.0338681,
5.5648,0.216782,-0.0235842,-0.00896897,0.0182819,0.000109277,-0.00053046,0,-0.376815,1.41033,0.147907,0.0341931,0.0445361,0.0308498,
5.57366,0.21678,-0.0251422,-0.00768765,0.0182819,-0.00155798,0.00128132,0,-0.377001,1.40994,0.149152,0.0383741,0.0487908,0.0329472,
5.58416,0.21745,-0.0279738,-0.00934776,0.0182819,-0.00283152,-0.00166011,-3.46945e-18,-0.377439,1.40937,0.150589,0.0440922,0.0558446,0.0347775,
5.59879,0.217224,-0.0294918,-0.0110299,0.0182819,-0.00151808,-0.00168214,0,-0.377624,1.40871,0.152409,0.0477024,0.0533669,0.0347589,
5.60414,0.217213,-0.0305108,-0.0103729,0.0182819,-0.00101901,0.000656981,0,-0.377539,1.40801,0.154255,0.0420586,0.0448089,0.0316082,
5.61486,0.218388,-0.0305051,-0.008547,0.0182819,5.75228e-06,0.00182591,3.46945e-18,-0.377675,1.40738,0.15583,0.0404903,0.0470929,0.0321086,
5.62562,0.218567,-0.0302231,-0.00910484,0.0182819,0.000282003,-0.000557837,-6.93889e-18,-0.377769,1.4069,0.156884,0.0414903,0.0465901,0.0330815,
5.63457,0.218737,-0.0305671,-0.0089543,0.0182819,-0.000343996,0.000150544,1.04083e-17,-0.377989,1.40639,0.158066,0.0425479,0.0494938,0.0341422,
5.64354,0.219864,-0.0304631,-0.00873065,0.0182819,0.000103997,0.00022365,0,-0.378301,1.40527,0.160209,0.043631,0.0438263,0.0316517,
5.65403,0.219997,-0.0309428,-0.00726659,0.0182819,-0.00047968,0.00146406,0,-0.37809,1.40454,0.162079,0.0291641,0.0468646,0.037407,
5.66489,0.220713,-0.0273769,-0.00800707,0.0182819,0.00356589,-0.00074048,-3.46945e-18,-0.378287,1.40394,0.163617,0.0281865,0.0466677,0.0372931,
5.67429,0.220909,-0.0272364,-0.00793274,0.0182819,0.000140452,7.43262e-05,-3.46945e-18,-0.37844,1.40338,0.16477,0.033204,0.0435944,0.0325281,
5.68395,0.221207,-0.0302125,-0.00762162,0.0182819,-0.00297613,0.000311123,3.46945e-18,-0.378651,1.40278,0.166126,0.0326243,0.0451455,0.0329631,
5.69838,0.22138,-0.0301714,-0.0079865,0.0182819,4.1185e-05,-0.000364882,-6.93889e-18,-0.378877,1.40202,0.16758,0.031881,0.0439827,0.0330553,
5.70325,0.221596,-0.0301197,-0.00765406,0.0182819,5.16949e-05,0.000332444,6.93889e-18,-0.379115,1.40125,0.168903,0.0315695,0.0427192,0.0325059,
5.7139,0.221808,-0.0301822,-0.00730464,0.0182819,-6.25195e-05,0.000349416,3.46945e-18,-0.379386,1.40055,0.170193,0.0325898,0.0427684,0.0325629,
5.72412,0.222854,-0.0306487,-0.00741174,0.0182819,-0.000466558,-0.000107102,-3.46945e-18,-0.379573,1.39988,0.171471,0.035708,0.0422411,0.032418,
5.73373,0.222898,-0.0315733,-0.00724934,0.0182819,-0.000924588,0.000162402,0,-0.37969,1.39918,0.172678,0.0328788,0.0437275,0.0323183,
5.74365,0.223926,-0.0316182,-0.00709262,0.0182819,-4.48436e-05,0.000156722,0,-0.379897,1.39844,0.174128,0.0334713,0.0441271,0.0323948,
5.75344,0.224052,-0.0319051,-0.00716586,0.0182819,-0.000286972,-7.32379e-05,3.46945e-18,-0.380089,1.3977,0.175429,0.0349228,0.04319,0.0327271,
5.76479,0.224215,-0.0324186,-0.00688898,0.0182819,-0.000513483,0.000276879,-3.46945e-18,-0.380393,1.39693,0.176631,0.0344343,0.0434383,0.0312422,
5.7736,0.224383,-0.0324363,-0.0069373,0.0182819,-1.76426e-05,-4.83273e-05,-3.46945e-18,-0.380573,1.39626,0.177586,0.0390915,0.0436938,0.0313708,
5.78494,0.224365,-0.0337669,-0.00697474,0.0182819,-0.00133064,-3.74311e-05,3.46945e-18,-0.380633,1.39552,0.178826,0.0348326,0.046051,0.032685,
5.7993,0.225485,-0.0340093,-0.00640382,0.0182819,-0.000242412,0.00057092,-3.46945e-18,-0.381081,1.39444,0.18041,0.0313268,0.0434213,0.0306174,
