t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
2.81637,0.21902,-0.0100468,-0.00722642,-0.0048726,-0.00725521,-0.0192811,0,-1.0284,1.47941,0.110326,0.0354358,0.0231579,-0.000481647,
2.82567,0.219267,-0.0107814,-0.00751818,-0.0048726,-0.000734644,-0.000291762,-8.67362e-19,-1.0284,1.47941,0.110326,0.0354358,0.0231579,-0.000481647,
2.83856,0.219592,-0.0107978,-0.00752914,-0.0048726,-1.63779e-05,-1.09595e-05,0,-1.02829,1.47928,0.110563,0.0327376,0.0165856,-0.00286109,
2.84689,0.219999,-0.0105082,-0.00546746,-0.0048726,0.000289617,0.00206168,2.60209e-18,-1.0282,1.47917,0.110524,0.03394,0.0155752,-0.00190995,
2.85502,0.22034,-0.0104878,-0.00564637,-0.0048726,2.03553e-05,-0.000178914,-8.67362e-19,-1.02829,1.47902,0.110648,0.0346305,0.0148968,-0.00309947,
2.86554,0.2206,-0.0101526,-0.00486608,-0.0048726,0.000335221,0.000780295,-1.73472e-18,-1.02841,1.47898,0.110647,0.0399321,0.0215081,-0.0010525,
2.87804,0.220744,-0.0115269,-0.00654642,-0.0048726,-0.00137432,-0.00168034,0,-1.02838,1.47905,0.110711,0.0389374,0.0207126,-0.00141791,
2.88556,0.221093,-0.0112794,-0.0063577,-0.0048726,0.00024747,0.000188721,1.73472e-18,-1.0283,1.47897,0.111046,0.0366462,0.0154268,-0.00177557,
2.89568,0.221121,-0.0105235,-0.00488161,-0.0048726,0.000755938,0.00147609,-8.67362e-19,-1.0283,1.47886,0.111271,0.0359133,0.0102271,-0.00345594,
2.90901,0.221475,-0.0103689,-0.00355169,-0.0048726,0.000154564,0.00132992,-8.67362e-19,-1.0283,1.47886,0.111271,0.0359133,0.0102271,-0.00345594,
2.91604,0.221644,-0.0118045,-0.00468788,-0.0048726,-0.00143558,-0.00113619,8.67362e-19,-1.02834,1.47874,0.111583,0.036939,0.0111014,-0.00241863,
2.92611,0.221057,-0.0139159,-0.00460862,-0.0048726,-0.00211133,7.92582e-05,-1.73472e-18,-1.02831,1.47867,0.111631,0.0382085,0.0106704,-0.00189925,
2.93954,0.221347,-0.0142721,-0.00450619,-0.0048726,-0.000356227,0.000102437,8.67362e-19,-1.02831,1.47867,0.111631,0.0382085,0.0106704,-0.00189925,
2.9461,0.221671,-0.0142911,-0.00451176,-0.0048726,-1.89744e-05,-5.57182e-06,8.67362e-19,-1.02838,1.47826,0.112225,0.0407684,0.00954788,-0.000853357,
2.95583,0.221871,-0.0150307,-0.00421073,-0.0048726,-0.000739599,0.000301032,-8.67362e-19,-1.0284,1.47798,0.112407,0.0454463,0.0109915,-8.69357e-05,
2.966,0.222034,-0.0182351,-0.00393044,-0.0048726,-0.00320444,0.000280283,8.67362e-19,-1.02843,1.47786,0.112401,0.0449487,0.010644,-0.000886379,
2.97802,0.222375,-0.0181504,-0.00384632,-0.0048726,8.46545e-05,8.41253e-05,-8.67362e-19,-1.02843,1.47729,0.11289,0.0518784,0.0107741,0.000663445,
2.98577,0.222409,-0.0200436,-0.0038735,-0.0048726,-0.00189321,-2.71769e-05,1.73472e-18,-1.02855,1.47692,0.113233,0.0563287,0.0143709,0.00176995,
2.99601,0.22034,-0.0240466,-0.00524284,-0.0048726,-0.00400295,-0.00136934,-1.73472e-18,-1.02859,1.47658,0.113683,0.0555566,0.0141386,0.00340051,
3.00842,0.220646,-0.0239329,-0.00516912,-0.0048726,0.000113737,7.3716e-05,8.67362e-19,-1.02859,1.47658,0.113683,0.0555566,0.0141386,0.00340051,
