t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
0.00309682,0.230627,-0.0391551,0.01551,-0.00671315,0.000176659,0.000262711,-2.60209e-18,-1.06062,1.33916,0.223629,-0.00247632,0.0121542,0.0053953,
0.0151577,0.230811,-0.0389002,0.0168351,-0.00671315,0.000254886,0.00132512,1.73472e-18,-1.06127,1.33862,0.224216,0.00516794,0.0231127,0.00710832,
0.0277731,0.230299,-0.037898,0.0147847,-0.00671315,0.00100212,-0.0020504,0,-1.06201,1.33749,0.225768,0.00681394,0.0223413,0.0072308,
0.0328283,0.230356,-0.0385303,0.0151203,-0.00671315,-0.000632216,0.000335591,1.73472e-18,-1.06238,1.33667,0.227065,-0.00236355,0.0151722,0.00668244,
0.0436726,0.230861,-0.0362303,0.0171093,-0.00671315,0.00229996,0.00198904,-3.46945e-18,-1.0631,1.33578,0.228361,-0.00262337,0.0128377,0.00435462,
0.057843,0.229602,-0.0351655,0.0200411,-0.00671315,0.00106479,0.0029318,0,-1.06367,1.33492,0.22978,-0.00313682,0.0126118,0.00576269,
0.0625968,0.22979,-0.0351516,0.0202428,-0.00671315,1.39016e-05,0.000201633,0,-1.06386,1.33463,0.230233,-0.00171779,0.0119645,0.00618491,
0.0726738,0.229985,-0.0355824,0.0204654,-0.00671315,-0.000430829,0.000222633,8.67362e-19,-1.06494,1.3331,0.232488,-0.000272633,0.0114908,0.00615381,
0.0890949,0.229624,-0.0388259,0.0196093,-0.00671315,-0.00324351,-0.000856113,-8.67362e-19,-1.06632,1.33172,0.234921,-0.000978829,0.0142632,0.0036465,
0.0925901,0.229778,-0.0389212,0.0190134,-0.00671315,-9.52716e-05,-0.000595867,1.73472e-18,-1.06632,1.33172,0.234921,-0.000978829,0.0142632,0.0036465,
0.102989,0.230104,-0.0389402,0.0190185,-0.00671315,-1.89945e-05,5.02757e-06,-8.67362e-19,-1.06674,1.33105,0.236054,0.00187475,0.0131644,0.00550115,
0.119542,0.230133,-0.0397871,0.0194458,-0.00671315,-0.000846933,0.000427322,-1.73472e-18,-1.06674,1.33105,0.236054,0.00187475,0.0131644,0.00550115,
0.123105,0.229827,-0.0368732,0.0209631,-0.00671315,0.00291394,0.00151731,1.73472e-18,-1.06674,1.33105,0.236054,0.00187475,0.0131644,0.00550115,
0.132733,0.230153,-0.0368921,0.0209694,-0.00671315,-1.88677e-05,6.33719e-06,1.73472e-18,-1.06901,1.32844,0.240806,0.00676567,0.0264066,0.00733044,
0.142988,0.23,-0.038589,0.0178295,-0.00671315,-0.00169692,-0.00313992,-1.73472e-18,-1.06962,1.32777,0.242144,0.00929789,0.0282939,0.00876951,
0.152849,0.230082,-0.0393569,0.0174646,-0.00671315,-0.000767877,-0.000364939,0,-1.06962,1.32777,0.242144,0.00929789,0.0282939,0.00876951,
0.16287,0.231134,-0.0375611,0.0174279,-0.00671315,0.00179577,-3.666e-05,0,-1.07046,1.32659,0.244152,0.000978182,0.0182066,0.00519048,
