t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
2.85568,0.22012,-0.00659383,-0.00635296,-0.0128467,0.00456876,-0.0197075,-1.73472e-18,-0.731431,0.894398,0.109046,0.0187287,0.0184916,-0.0138612,
2.86559,0.220447,-0.00660302,-0.00636195,-0.0128467,-9.18471e-06,-8.99092e-06,5.20417e-18,-0.731469,0.894356,0.109044,0.019301,0.0187704,-0.0137128,
2.88068,0.220762,-0.00676532,-0.00643582,-0.0128467,-0.000162302,-7.38733e-05,-3.46945e-18,-0.731441,0.894364,0.108994,0.017885,0.0174447,-0.0137622,
2.88525,0.221124,-0.00641147,-0.00610985,-0.0128467,0.000353844,0.000325969,-1.73472e-18,-0.731438,0.894357,0.108988,0.0187216,0.017694,-0.0134489,
2.89507,0.222098,-0.00628417,-0.00521694,-0.0128467,0.000127303,0.000892908,3.46945e-18,-0.731548,0.894345,0.109036,0.0185328,0.0171283,-0.0143398,
2.90727,0.222426,-0.00624632,-0.00506189,-0.0128467,3.78514e-05,0.000155052,0,-0.731554,0.894421,0.109071,0.0183424,0.0172816,-0.0143544,
2.9158,0.222749,-0.00619337,-0.00510817,-0.0128467,5.29448e-05,-4.62734e-05,0,-0.731554,0.894421,0.109071,0.0183424,0.0172816,-0.0143544,
2.92493,0.223054,-0.00633933,-0.00514943,-0.0128467,-0.000145951,-4.1267e-05,-3.46945e-18,-0.731553,0.8943,0.109317,0.0191665,0.0171726,-0.0145965,
2.9375,0.221075,-0.0069811,-0.00469227,-0.0128467,-0.000641772,0.000457165,5.20417e-18,-0.731523,0.894067,0.109495,0.0226866,0.0175992,-0.0135177,
2.94672,0.221329,-0.00792964,-0.00481202,-0.0128467,-0.00094854,-0.000119751,-1.73472e-18,-0.731475,0.893842,0.109824,0.0262348,0.0194854,-0.013105,
2.95518,0.221543,-0.0088854,-0.00531117,-0.0128467,-0.000955758,-0.000499155,-3.46945e-18,-0.731607,0.893526,0.110243,0.0283601,0.0193502,-0.0129668,
2.96601,0.220198,-0.0135652,-0.00533436,-0.0128467,-0.00467979,-2.31889e-05,0,-0.731618,0.893406,0.110426,0.0297079,0.0198355,-0.0126864,
2.98146,0.220466,-0.0139427,-0.00546324,-0.0128467,-0.000377485,-0.000128873,3.46945e-18,-0.731629,0.893288,0.11058,0.0314316,0.0199549,-0.012681,
2.98552,0.22073,-0.0144169,-0.00549995,-0.0128467,-0.000474224,-3.67193e-05,3.46945e-18,-0.731629,0.893288,0.11058,0.0314316,0.0199549,-0.012681,
2.99576,0.22006,-0.0154797,-0.00466477,-0.0128467,-0.00106282,0.000835182,-8.67362e-18,-0.731629,0.893288,0.11058,0.0314316,0.0199549,-0.012681,
3.0055,0.220385,-0.0154974,-0.00467327,-0.0128467,-1.7632e-05,-8.49661e-06,5.20417e-18,-0.731654,0.891799,0.112198,0.0455836,0.0223925,-0.00874668,
3.01548,0.220077,-0.0193415,-0.00526916,-0.0128467,-0.00384412,-0.000595891,0,-0.731654,0.891799,0.112198,0.0455836,0.0223925,-0.00874668,
3.02488,0.22033,-0.019592,-0.00510767,-0.0128467,-0.000250503,0.000161487,0,-0.731726,0.891102,0.113003,0.0439759,0.0231011,-0.0087019,
3.03609,0.220676,-0.0190867,-0.00545746,-0.0128467,0.000505242,-0.000349787,-3.46945e-18,-0.731799,0.890707,0.11341,0.0467804,0.0254003,-0.00806324,
3.04597,0.221036,-0.0244123,-0.00654756,-0.0128467,-0.00532559,-0.0010901,0,-0.731948,0.890211,0.113839,0.0468355,0.0262284,-0.00864093,
3.0551,0.221295,-0.0245297,-0.00675252,-0.0128467,-0.000117379,-0.000204969,3.46945e-18,-0.731939,0.889989,0.114099,0.0469031,0.0280086,-0.00849917,
3.06641,0.221561,-0.024606,-0.00722234,-0.0128467,-7.63347e-05,-0.00046982,-3.46945e-18,-0.731985,0.889431,0.114703,0.0427484,0.0255845,-0.00679139,
3.08216,0.221632,-0.0217988,-0.00607947,-0.0128467,0.00280725,0.00114287,-1.73472e-18,-0.732249,0.889051,0.115176,0.0400235,0.0240898,-0.00844407,
3.08528,0.222016,-0.0211858,-0.005676,-0.0128467,0.000613037,0.000403474,1.73472e-18,-0.732343,0.888729,0.115485,0.037538,0.0230801,-0.00754476,
3.09517,0.2224,-0.020621,-0.00540256,-0.0128467,0.000564742,0.000273438,5.20417e-18,-0.732502,0.888228,0.116228,0.033806,0.0203609,-0.00704145,
3.10619,0.222793,-0.0197608,-0.00467687,-0.0128467,0.000860248,0.000725694,-3.46945e-18,-0.732613,0.887765,0.116839,0.0312257,0.0184209,-0.00737795,
3.11546,0.220608,-0.0186175,-0.00249226,-0.0128467,0.0011433,0.0021846,1.73472e-18,-0.732643,0.88735,0.117653,0.0289334,0.0175343,-0.00744632,
3.12516,0.220917,-0.018115,-0.00226652,-0.0128467,0.000502447,0.000225744,1.73472e-18,-0.73266,0.886909,0.118638,0.0308334,0.0157038,-0.00727418,
3.13522,0.221084,-0.0186844,-0.00179584,-0.0128467,-0.00056935,0.000470684,-3.46945e-18,-0.732798,0.886415,0.119599,0.0310688,0.0138453,-0.00815157,
3.14545,0.221302,-0.0188404,-0.00130688,-0.0128467,-0.000156031,0.000488957,-3.46945e-18,-0.733047,0.885822,0.120697,0.0359598,0.0149911,-0.00674904,
3.15538,0.217181,-0.0245095,-5.84523e-05,-0.0128467,-0.00566914,0.00124843,6.93889e-18,-0.733283,0.885243,0.121795,0.0376823,0.0146792,-0.00572937,
3.16593,0.217315,-0.0250457,6.82405e-05,-0.0128467,-0.000536188,0.000126693,-1.73472e-18,-0.733589,0.884581,0.122992,0.0382694,0.0137595,-0.00615062,
3.18372,0.217482,-0.0253163,0.000341715,-0.0128467,-0.000270625,0.000273475,-3.46945e-18,-0.733629,0.88399,0.124286,0.0384666,0.0119252,-0.00635064,
3.18536,0.215286,-0.0283289,2.37619e-06,-0.0128467,-0.00301254,-0.000339339,3.46945e-18,-0.733765,0.883426,0.125709,0.0366421,0.0113199,-0.00561938,
3.1953,0.215534,-0.0279819,0.000184199,-0.0128467,0.000347011,0.000181823,-3.46945e-18,-0.733978,0.882888,0.127237,0.0361352,0.0125817,-0.00432533,
3.20533,0.215707,-0.0279527,-7.96811e-05,-0.0128467,2.91498e-05,-0.00026388,1.73472e-18,-0.734159,0.882259,0.128665,0.0361839,0.0136046,-0.00406797,
3.21508,0.213882,-0.0299711,-0.000109165,-0.0128467,-0.00201835,-2.94836e-05,1.73472e-18,-0.73433,0.881634,0.130072,0.0387553,0.0165222,-0.00409502,
3.22543,0.213918,-0.030715,-0.000808929,-0.0128467,-0.000743954,-0.000699764,-1.73472e-18,-0.734459,0.880722,0.13178,0.0308569,0.0174644,-0.00435761,
3.23524,0.214406,-0.0289377,-0.00103228,-0.0128467,0.00177734,-0.000223347,-3.46945e-18,-0.734488,0.880083,0.133288,0.0269731,0.0194636,-0.00237062,
3.24525,0.214719,-0.0280911,-0.00149535,-0.0128467,0.00084664,-0.000463073,1.73472e-18,-0.734562,0.879661,0.134274,0.02659,0.0209239,-0.00106545,
3.255,0.2144,-0.0286768,-0.00253073,-0.0128467,-0.000585732,-0.00103538,1.73472e-18,-0.734795,0.878883,0.13597,0.0261729,0.0201395,-0.00215051,
3.26574,0.214558,-0.0287131,-0.00232147,-0.0128467,-3.63429e-05,0.000209258,0,-0.735028,0.877907,0.138218,0.0282653,0.025416,-0.00135668,
3.28039,0.214522,-0.029388,-0.0035847,-0.0128467,-0.000674893,-0.00126323,3.46945e-18,-0.735121,0.877376,0.139339,0.0272011,0.0229675,-0.00261323,
3.28607,0.213776,-0.0249257,-0.00104644,-0.0128467,0.0044623,0.00253826,-3.46945e-18,-0.735121,0.877376,0.139339,0.0272011,0.0229675,-0.00261323,
3.2953,0.214101,-0.0249475,-0.0010539,-0.0128467,-2.17657e-05,-7.45688e-06,-1.73472e-18,-0.735121,0.877376,0.139339,0.0272011,0.0229675,-0.00261323,
3.30575,0.214426,-0.0249693,-0.00106137,-0.0128467,-2.17828e-05,-7.47403e-06,-1.73472e-18,-0.735773,0.874744,0.145187,0.028502,0.0222513,-0.00066305,
3.31576,0.21321,-0.0293437,-0.00163831,-0.0128467,-0.00437439,-0.000576943,3.46945e-18,-0.735773,0.874744,0.145187,0.028502,0.0222513,-0.00066305,
3.32512,0.213363,-0.029357,-0.00134383,-0.0128467,-1.33184e-05,0.000294482,0,-0.736127,0.873136,0.148947,0.0226231,0.018566,-0.00199988,
3.33529,0.21371,-0.0281889,-0.000701557,-0.0128467,0.00116805,0.000642276,-1.73472e-18,-0.736126,0.872564,0.150139,0.0241099,0.0165552,0.000149984,
3.34635,0.213876,-0.0286543,-0.000166937,-0.0128467,-0.000465363,0.00053462,3.46945e-18,-0.736542,0.871415,0.152375,0.0251583,0.0151441,0.000429027,
3.35527,0.213316,-0.0300974,-0.000993902,-0.0128467,-0.00144314,-0.000826965,-3.46945e-18,-0.736802,0.870613,0.154197,0.022317,0.017086,0.00148012,
3.36572,0.213553,-0.0295379,-0.00141481,-0.0128467,0.000559486,-0.000420909,3.46945e-18,-0.736916,0.869856,0.156051,0.0185464,0.017443,0.00149417,
3.38306,0.213836,-0.0314094,-0.00101346,-0.0128467,-0.00187144,0.000401349,0,-0.737058,0.869047,0.15762,0.0182146,0.0175157,0.000672657,
3.38586,0.213999,-0.0314718,-0.00102984,-0.0128467,-6.24327e-05,-1.63833e-05,-5.20417e-18,-0.73723,0.867994,0.159558,0.0178952,0.0191756,0.00124095,
3.39522,0.214115,-0.0315691,-0.00140391,-0.0128467,-9.73296e-05,-0.000374061,3.46945e-18,-0.73745,0.867185,0.161329,0.0224999,0.0216138,0.00144721,
3.40599,0.214013,-0.0328363,-0.00197047,-0.0128467,-0.00126712,-0.000566565,3.46945e-18,-0.737556,0.866305,0.163056,0.0228731,0.0197851,0.001642,
