t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
3.37858,0.219697,-0.011731,-0.00733291,0.0127476,-0.0157518,-0.0281508,0,-0.659113,0.642677,0.107035,0.0342441,0.0234919,0.0144476,
3.39204,0.220023,-0.0117476,-0.00734393,0.0127476,-1.66021e-05,-1.10203e-05,-3.46945e-18,-0.659113,0.642677,0.107035,0.0342441,0.0234919,0.0144476,
3.39758,0.221006,-0.0106954,-0.00764857,0.0127476,0.00105224,-0.000304641,5.20417e-18,-0.659088,0.642578,0.107047,0.035592,0.024157,0.0149322,
3.4083,0.221292,-0.0110726,-0.00783311,0.0127476,-0.000377196,-0.000184536,-1.73472e-18,-0.659042,0.642557,0.107065,0.0350937,0.0241496,0.0145291,
3.42055,0.221632,-0.0109647,-0.00785092,0.0127476,0.000107858,-1.78137e-05,-5.20417e-18,-0.659075,0.642533,0.107112,0.0364791,0.02349,0.0143321,
3.42805,0.221925,-0.0113399,-0.00768597,0.0127476,-0.0003752,0.000164955,1.73472e-18,-0.659154,0.642491,0.107163,0.0361397,0.023049,0.0145488,
3.43799,0.221906,-0.0120669,-0.0059086,0.0127476,-0.000727011,0.00177737,5.20417e-18,-0.659192,0.642526,0.10729,0.0358047,0.0237793,0.0155037,
3.44905,0.222216,-0.011991,-0.00609906,0.0127476,7.59552e-05,-0.00019046,-1.73472e-18,-0.659237,0.642486,0.107356,0.0353333,0.023476,0.0158923,
3.45934,0.222548,-0.0118928,-0.00602267,0.0127476,9.82022e-05,7.63836e-05,-1.73472e-18,-0.659237,0.642486,0.107356,0.0353333,0.023476,0.0158923,
3.46787,0.22287,-0.0120073,-0.0055624,0.0127476,-0.000114575,0.000460276,5.20417e-18,-0.659264,0.642349,0.10765,0.0403352,0.024753,0.0172613,
3.47767,0.221825,-0.0155201,-0.00760753,0.0127476,-0.00351276,-0.00204513,-3.46945e-18,-0.659286,0.642176,0.107888,0.0423014,0.0257203,0.0175259,
3.48964,0.222054,-0.0160711,-0.00786151,0.0127476,-0.000550969,-0.000253984,3.46945e-18,-0.659286,0.642176,0.107888,0.0423014,0.0257203,0.0175259,
3.4987,0.221249,-0.0164247,-0.00885377,0.0127476,-0.000353689,-0.000992259,-3.46945e-18,-0.659175,0.641719,0.108394,0.0466513,0.0283606,0.0189088,
3.50847,0.221436,-0.0171455,-0.00931663,0.0127476,-0.000720796,-0.000462857,-3.46945e-18,-0.659047,0.641448,0.108695,0.0459681,0.0274693,0.0180703,
3.52257,0.221791,-0.0170375,-0.00912411,0.0127476,0.000108036,0.000192514,5.20417e-18,-0.65896,0.64121,0.108863,0.0479357,0.026842,0.0186468,
3.52843,0.222412,-0.017283,-0.00776004,0.0127476,-0.000245456,0.00136408,-1.73472e-18,-0.658847,0.641013,0.109065,0.0488305,0.0262302,0.0191866,
3.53899,0.222692,-0.0175681,-0.00762807,0.0127476,-0.000285184,0.000131964,-3.46945e-18,-0.658892,0.640941,0.109327,0.0532085,0.0294198,0.0212128,
3.54951,0.222796,-0.0187267,-0.00844761,0.0127476,-0.00115856,-0.000819534,1.73472e-18,-0.658953,0.640712,0.109636,0.0517552,0.0279139,0.0216671,
3.55895,0.223157,-0.018414,-0.00805725,0.0127476,0.000312682,0.000390357,1.73472e-18,-0.658935,0.640608,0.109813,0.0509084,0.0281423,0.0214093,
3.5678,0.222634,-0.0187256,-0.00835432,0.0127476,-0.000311564,-0.00029707,1.73472e-18,-0.658968,0.640428,0.110028,0.0501374,0.03026,0.0231244,
3.57813,0.222924,-0.0185786,-0.00890297,0.0127476,0.000146939,-0.000548646,-1.73472e-18,-0.659013,0.640165,0.110394,0.0474937,0.0293792,0.0224895,
3.59081,0.223309,-0.0179618,-0.00868296,0.0127476,0.000616877,0.000220009,-1.73472e-18,-0.659013,0.640165,0.110394,0.0474937,0.0293792,0.0224895,
3.59773,0.221465,-0.0237183,-0.00797618,0.0127476,-0.00575656,0.000706777,1.73472e-18,-0.65913,0.639445,0.111288,0.0442282,0.0290473,0.0232529,
3.60844,0.221785,-0.0234266,-0.00792548,0.0127476,0.000291774,5.07001e-05,0,-0.659099,0.639109,0.1117,0.03985,0.0310657,0.0230243,
3.62542,0.222217,-0.0223814,-0.00846928,0.0127476,0.00104519,-0.000543801,1.73472e-18,-0.659099,0.639109,0.1117,0.03985,0.0310657,0.0230243,
3.62835,0.222704,-0.0213092,-0.00685031,0.0127476,0.00107221,0.00161897,-3.46945e-18,-0.658952,0.638436,0.112854,0.0346174,0.0252829,0.0231231,
3.63844,0.22108,-0.0233383,-0.00744975,0.0127476,-0.00202915,-0.000599442,1.73472e-18,-0.659071,0.638068,0.11325,0.0337137,0.0277352,0.0227325,
3.64933,0.221356,-0.0231846,-0.00807585,0.0127476,0.00015375,-0.000626104,3.46945e-18,-0.659071,0.638068,0.11325,0.0337137,0.0277352,0.0227325,
3.66288,0.22168,-0.0232068,-0.00808844,0.0127476,-2.22151e-05,-1.25886e-05,-1.73472e-18,-0.659071,0.638068,0.11325,0.0337137,0.0277352,0.0227325,
3.66786,0.220652,-0.0239529,-0.00818022,0.0127476,-0.00074617,-9.17755e-05,-3.46945e-18,-0.65892,0.636613,0.115932,0.0298605,0.023514,0.025671,
3.67836,0.220876,-0.023217,-0.00708265,0.0127476,0.000735927,0.00109757,-1.73472e-18,-0.658922,0.636182,0.116689,0.0332148,0.0238674,0.0266279,
3.68982,0.220993,-0.024159,-0.00716548,0.0127476,-0.000941994,-8.28261e-05,3.46945e-18,-0.658922,0.636182,0.116689,0.0332148,0.0238674,0.0266279,
3.69814,0.218713,-0.0205736,-0.00574541,0.0127476,0.00358539,0.00142006,0,-0.658956,0.634825,0.119025,0.0313384,0.0167619,0.0266392,
3.70854,0.218908,-0.02073,-0.00522468,0.0127476,-0.00015641,0.000520737,0,-0.658935,0.634474,0.119767,0.032358,0.0164125,0.0275758,
3.7223,0.219121,-0.0210608,-0.00513339,0.0127476,-0.000330793,9.1285e-05,-1.73472e-18,-0.658935,0.634474,0.119767,0.032358,0.0164125,0.0275758,
3.7289,0.219213,-0.0215305,-0.00517393,0.0127476,-0.000469691,-4.05386e-05,0,-0.659027,0.633387,0.12227,0.0337794,0.0172471,0.0291495,
3.73895,0.217369,-0.0237662,-0.00529703,0.0127476,-0.00223571,-0.000123103,-1.73472e-18,-0.659013,0.632797,0.123515,0.0334563,0.018226,0.0293641,
