t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.01,0.218279,-0.00331991,-0.00457245,-0.0075034,0.00599356,-0.016877,-1.73472e-18,-0.791586,0.973959,0.108399,0.0200821,0.0204741,-0.00396453,
5.022,0.21858,-0.00325007,-0.00507202,-0.0075034,6.98451e-05,-0.000499567,0,-0.791663,0.973941,0.108441,0.0196718,0.0192649,-0.00428443,
5.0288,0.218916,-0.00315725,-0.00476112,-0.0075034,9.2815e-05,0.000310903,0,-0.791628,0.974042,0.108455,0.0183176,0.0193956,-0.0048568,
5.03929,0.219249,-0.00280516,-0.00480744,-0.0075034,0.000352089,-4.6326e-05,-1.73472e-18,-0.791644,0.973943,0.108425,0.0195256,0.0190416,-0.00437355,
5.05249,0.219571,-0.00313511,-0.00472402,-0.0075034,-0.000329949,8.34291e-05,3.46945e-18,-0.791666,0.9739,0.108488,0.0202379,0.0190467,-0.00449364,
5.05901,0.218633,-0.00377805,-0.00351644,-0.0075034,-0.000642934,0.00120757,-8.67362e-19,-0.791624,0.973854,0.108579,0.0215675,0.0179757,-0.0038611,
5.06981,0.218945,-0.00412918,-0.00325958,-0.0075034,-0.00035113,0.000256861,-1.73472e-18,-0.791696,0.973724,0.108795,0.0231241,0.0188365,-0.00400342,
5.08717,0.219225,-0.00455302,-0.00347296,-0.0075034,-0.000423841,-0.000213381,8.67362e-19,-0.791659,0.973553,0.10907,0.0259109,0.0191974,-0.00390225,
5.09109,0.216634,-0.00967563,-0.00448514,-0.0075034,-0.00512261,-0.00101218,-8.67362e-19,-0.791589,0.973311,0.109453,0.0288796,0.0184964,-0.00357591,
5.09922,0.21687,-0.0104688,-0.00432623,-0.0075034,-0.000793206,0.000158915,1.73472e-18,-0.791637,0.972934,0.109949,0.0323219,0.0181708,-0.00310279,
5.1107,0.217071,-0.0114035,-0.00424118,-0.0075034,-0.000934647,8.50479e-05,-8.67362e-19,-0.791608,0.972626,0.110354,0.036559,0.0190831,-0.00220747,
5.12245,0.217249,-0.0125278,-0.00447889,-0.0075034,-0.0011243,-0.00023771,1.73472e-18,-0.791598,0.972283,0.110886,0.0405944,0.019617,-0.000947677,
5.12905,0.216283,-0.0164891,-0.00541492,-0.0075034,-0.00396128,-0.000936037,0,-0.79166,0.971846,0.111443,0.0423506,0.02178,-0.0011712,
5.13991,0.216348,-0.0177129,-0.00594264,-0.0075034,-0.00122384,-0.000527711,-3.46945e-18,-0.791632,0.971553,0.111917,0.0471477,0.0205792,-0.00139591,
5.15295,0.216478,-0.0189745,-0.00565271,-0.0075034,-0.00126158,0.000289926,2.60209e-18,-0.79151,0.971091,0.112589,0.0437162,0.0232863,0.00031538,
5.15933,0.215845,-0.0198672,-0.00678152,-0.0075034,-0.000892759,-0.00112881,0,-0.791593,0.970636,0.11318,0.0449448,0.0233471,6.85591e-05,
5.17027,0.216058,-0.0202647,-0.00679285,-0.0075034,-0.000397496,-1.1327e-05,0,-0.791613,0.970224,0.113793,0.0438929,0.02271,0.00101804,
5.18911,0.216357,-0.0200901,-0.00663202,-0.0075034,0.00017464,0.000160827,1.73472e-18,-0.791812,0.969268,0.115383,0.0397607,0.0210376,0.00153652,
5.19019,0.21436,-0.0207392,-0.00362775,-0.0075034,-0.000649094,0.00300427,-8.67362e-19,-0.791812,0.969268,0.115383,0.0397607,0.0210376,0.00153652,
5.19996,0.21465,-0.0204549,-0.00341157,-0.0075034,0.000284326,0.000216186,-8.67362e-19,-0.791788,0.968687,0.116327,0.0391159,0.0189718,0.00227002,
5.21121,0.214903,-0.0204049,-0.00290051,-0.0075034,5.00115e-05,0.000511052,0,-0.79177,0.968119,0.117243,0.04063,0.0177706,0.00248982,
5.22157,0.212356,-0.0253352,-0.00356778,-0.0075034,-0.00493033,-0.000667265,0,-0.79181,0.967576,0.118223,0.035107,0.0190952,0.00459283,
