t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.02461,0.218356,-0.00834785,-0.00747579,0.0361662,-0.00213751,-0.0245008,-6.93889e-18,-0.639236,1.39137,0.108776,0.0272588,0.0282047,0.0395514,
5.03114,0.219226,-0.00633081,-0.00651516,0.0361662,0.00201704,0.000960635,0,-0.639236,1.39137,0.108776,0.0272588,0.0282047,0.0395514,
5.03868,0.219429,-0.00633805,-0.00652264,0.0361662,-7.23588e-06,-7.48209e-06,2.08167e-17,-0.63924,1.39147,0.108687,0.0271598,0.0277482,0.0395555,
5.0443,0.219656,-0.00644669,-0.00669536,0.0361662,-0.00010864,-0.000172725,-2.77556e-17,-0.63924,1.39147,0.108687,0.0271598,0.0277482,0.0395555,
5.04819,0.219933,-0.00631432,-0.00642458,0.0361662,0.000132362,0.000270782,6.93889e-18,-0.6393,1.39151,0.108578,0.0264791,0.0279281,0.0394892,
5.05757,0.220257,-0.00632585,-0.00643635,0.0361662,-1.15254e-05,-1.1772e-05,6.93889e-18,-0.6393,1.39151,0.108578,0.0264791,0.0279281,0.0394892,
5.07353,0.221514,-0.00535483,-0.00691305,0.0361662,0.000971024,-0.000476695,-6.93889e-18,-0.639292,1.39159,0.108608,0.0261302,0.0272731,0.0397829,
5.07693,0.221845,-0.00531307,-0.00692481,0.0361662,4.17552e-05,-1.17647e-05,1.38778e-17,-0.639292,1.39159,0.108608,0.0261302,0.0272731,0.0397829,
5.08696,0.222174,-0.00527336,-0.00677045,0.0361662,3.97109e-05,0.000154361,6.93889e-18,-0.639337,1.39156,0.108776,0.0263508,0.0273669,0.0396688,
5.10205,0.22249,-0.00534508,-0.00679859,0.0361662,-7.17198e-05,-2.81351e-05,-2.08167e-17,-0.639377,1.39151,0.109217,0.0290144,0.0280422,0.0399389,
5.10776,0.219464,-0.00682098,-0.00601283,0.0361662,-0.0014759,0.00078576,0,-0.639377,1.39151,0.109217,0.0290144,0.0280422,0.0399389,
5.12192,0.219742,-0.00736066,-0.00590823,0.0361662,-0.000539683,0.000104594,6.93889e-18,-0.639492,1.39132,0.10992,0.0317619,0.0313015,0.0403631,
5.12759,0.219902,-0.00809726,-0.00672764,0.0361662,-0.000736598,-0.000819406,6.93889e-18,-0.639492,1.39132,0.10992,0.0317619,0.0313015,0.0403631,
5.13705,0.217996,-0.00900359,-0.00742375,0.0361662,-0.000906326,-0.000696113,-2.08167e-17,-0.639427,1.39116,0.110612,0.0338036,0.0305194,0.0410055,
5.15067,0.218219,-0.00955533,-0.00724449,0.0361662,-0.000551738,0.000179263,6.93889e-18,-0.639377,1.39057,0.111809,0.0355677,0.0294612,0.042238,
5.15737,0.216482,-0.0114846,-0.00774521,0.0361662,-0.00192932,-0.000500717,6.93889e-18,-0.639377,1.39057,0.111809,0.0355677,0.0294612,0.042238,
5.17254,0.216714,-0.0115758,-0.00744443,0.0361662,-9.11678e-05,0.000300778,-6.93889e-18,-0.639489,1.38997,0.113865,0.0387315,0.0307375,0.043951,
5.17798,0.216713,-0.0124664,-0.00774116,0.0361662,-0.000890559,-0.000296732,6.93889e-18,-0.639481,1.38976,0.114597,0.0401273,0.0304719,0.0441407,
5.18793,0.216926,-0.0128632,-0.0076832,0.0361662,-0.000396874,5.79594e-05,-6.93889e-18,-0.639481,1.38976,0.114597,0.0401273,0.0304719,0.0441407,
5.20172,0.21339,-0.0135251,-0.00539851,0.0361662,-0.000661844,0.00228469,6.93889e-18,-0.639577,1.38907,0.117051,0.0412998,0.0269225,0.0442291,
5.20715,0.213454,-0.0139278,-0.00450361,0.0361662,-0.000402692,0.000894901,0,-0.639577,1.38907,0.117051,0.0412998,0.0269225,0.0442291,
5.21768,0.213779,-0.0139478,-0.00451414,0.0361662,-1.99777e-05,-1.05331e-05,0,-0.639665,1.38877,0.118448,0.0402014,0.0269811,0.0452925,
5.22693,0.213978,-0.0137339,-0.00451531,0.0361662,0.000213823,-1.17336e-06,-6.93889e-18,-0.639611,1.38822,0.120676,0.0374586,0.022741,0.0451083,
5.23698,0.207421,-0.0193551,-0.00426008,0.0361662,-0.00562118,0.000255235,0,-0.639698,1.3879,0.12193,0.0353414,0.0252783,0.0452252,
5.24718,0.207647,-0.0189126,-0.00485661,0.0361662,0.000442476,-0.000596531,0,-0.639751,1.38758,0.123237,0.0331458,0.0268385,0.0448745,
5.26145,0.203228,-0.0163353,-0.00256386,0.0361662,0.00257735,0.00229275,0,-0.639889,1.38671,0.127548,0.0278153,0.0290555,0.0470288,
5.2671,0.203279,-0.0158422,-0.00345482,0.0361662,0.000493102,-0.00089096,-6.93889e-18,-0.639889,1.38671,0.127548,0.0278153,0.0290555,0.0470288,
5.27769,0.203529,-0.0152368,-0.00304644,0.0361662,0.000605349,0.000408372,6.93889e-18,-0.64,1.38638,0.12903,0.0289752,0.0314738,0.048007,
5.29296,0.203638,-0.0155624,-0.00359021,0.0361662,-0.000325576,-0.000543764,6.93889e-18,-0.640273,1.38497,0.136852,0.0276905,0.0307765,0.0483695,
5.29781,0.199449,-0.0174399,-0.00381607,0.0361662,-0.00187745,-0.00022586,0,-0.640354,1.38454,0.138679,0.0280695,0.0293782,0.0481674,
5.30729,0.199267,-0.0177447,-0.00340034,0.0361662,-0.000304804,0.000415731,-1.38778e-17,-0.640354,1.38454,0.138679,0.0280695,0.0293782,0.0481674,
5.3227,0.199391,-0.0179062,-0.00307087,0.0361662,-0.000161517,0.000329469,1.38778e-17,-0.640432,1.38341,0.144455,0.0284372,0.0276284,0.0491433,
5.3283,0.199226,-0.0185966,-0.00291022,0.0361662,-0.000690383,0.000160648,0,-0.640524,1.38314,0.14645,0.0294738,0.0285098,0.0501729,
5.33717,0.195688,-0.0173358,-0.00213453,0.0361662,0.00126074,0.000775695,-6.93889e-18,-0.640537,1.38297,0.1475,0.0295637,0.0251712,0.0503134,
5.34706,0.195663,-0.0176507,-0.00155408,0.0361662,-0.000314897,0.000580449,6.93889e-18,-0.640666,1.3824,0.150579,0.0283649,0.0232787,0.0507919,
5.36144,0.1938,-0.0216006,-0.00240358,0.0361662,-0.00394988,-0.0008495,6.93889e-18,-0.640957,1.38113,0.15698,0.0261609,0.0234435,0.0505587,
5.36745,0.193747,-0.0218365,-0.00279281,0.0361662,-0.000235837,-0.000389238,-6.93889e-18,-0.640957,1.38113,0.15698,0.0261609,0.0234435,0.0505587,
5.37847,0.193824,-0.0213101,-0.00238771,0.0361662,0.000526362,0.000405102,6.93889e-18,-0.641256,1.37994,0.163316,0.0262044,0.0219733,0.0521315,
5.39464,0.193471,-0.0214764,-0.00197814,0.0361662,-0.000166269,0.00040957,-6.93889e-18,-0.641322,1.37914,0.16732,0.0260602,0.0236876,0.0520493,
5.39706,0.193751,-0.0214315,-0.00148405,0.0361662,4.48368e-05,0.000494097,0,-0.641322,1.37914,0.16732,0.0260602,0.0236876,0.0520493,
5.4078,0.193632,-0.0215157,-0.00184561,0.0361662,-8.42092e-05,-0.00036156,0,-0.641434,1.37865,0.169421,0.0249155,0.022378,0.0521487,
5.4231,0.193772,-0.021347,-0.00153569,0.0361662,0.00016874,0.000309917,6.93889e-18,-0.641704,1.37701,0.176608,0.0246227,0.0246436,0.0528633,
5.42855,0.194798,-0.0211243,2.17696e-06,0.0361662,0.000222703,0.00153787,0,-0.641704,1.37701,0.176608,0.0246227,0.0246436,0.0528633,
5.43712,0.194717,-0.0209582,0.000366953,0.0361662,0.000166086,0.000364776,-1.38778e-17,-0.6419,1.37636,0.179604,0.0235944,0.0228915,0.0529422,
5.44774,0.194752,-0.0208316,0.000793522,0.0361662,0.00012658,0.000426569,1.38778e-17,-0.642147,1.3757,0.182684,0.0236085,0.0226288,0.0529683,
5.46162,0.194828,-0.0210229,0.000306994,0.0361662,-0.000191281,-0.000486527,-6.93889e-18,-0.642347,1.37459,0.187361,0.0210304,0.0234268,0.0525365,
5.46756,0.195708,-0.0238374,-0.000342594,0.0361662,-0.00281451,-0.000649589,0,-0.642347,1.37459,0.187361,0.0210304,0.0234268,0.0525365,
5.47738,0.196033,-0.0238582,-0.000349582,0.0361662,-2.0748e-05,-6.98751e-06,-6.93889e-18,-0.642456,1.37387,0.190243,0.0211626,0.0223911,0.0530412,
5.49211,0.196042,-0.0239993,-8.68419e-05,0.0361662,-0.000141123,0.00026274,6.93889e-18,-0.642871,1.37215,0.196671,0.022353,0.0219987,0.0527289,
5.49729,0.197982,-0.0208281,0.00126176,0.0361662,0.0031712,0.0013486,0,-0.642871,1.37215,0.196671,0.022353,0.0219987,0.0527289,
5.50749,0.198307,-0.0208472,0.00125613,0.0361662,-1.91048e-05,-5.62376e-06,0,-0.643064,1.37162,0.198327,0.0229881,0.0215926,0.0531436,
5.51925,0.19843,-0.0210777,0.00138586,0.0361662,-0.000230465,0.000129729,0,-0.643335,1.37033,0.203325,0.0227723,0.020946,0.0538633,
5.53192,0.198502,-0.0209748,0.000995039,0.0361662,0.000102806,-0.000390823,6.93889e-18,-0.643623,1.36952,0.20578,0.0192773,0.0210529,0.0522111,
5.53718,0.20046,-0.021972,0.002774,0.0361662,-0.000997201,0.00177896,-6.93889e-18,-0.643623,1.36952,0.20578,0.0192773,0.0210529,0.0522111,
5.5474,0.200629,-0.0213154,0.00277779,0.0361662,0.000656688,3.79628e-06,-6.93889e-18,-0.643843,1.36876,0.20823,0.0209432,0.0216225,0.0524933,
5.56095,0.200632,-0.0218141,0.0026901,0.0361662,-0.00049879,-8.76972e-05,0,-0.644155,1.36753,0.211981,0.0194673,0.0220672,0.0527334,
5.56746,0.20241,-0.0244551,0.00239619,0.0361662,-0.00264099,-0.000293909,0,-0.644155,1.36753,0.211981,0.0194673,0.0220672,0.0527334,
5.57744,0.202735,-0.0244753,0.00239113,0.0361662,-2.0122e-05,-5.06049e-06,6.93889e-18,-0.644441,1.36651,0.21464,0.018203,0.0205049,0.0520564,
5.59486,0.202814,-0.0243495,0.00279703,0.0361662,0.000125782,0.000405904,0,-0.644978,1.36489,0.218643,0.0162815,0.0218869,0.0524339,
5.59835,0.205225,-0.0258921,0.0034078,0.0361662,-0.00154259,0.000610768,-1.38778e-17,-0.645023,1.36418,0.220575,0.0153483,0.0201472,0.0532356,
5.60761,0.205372,-0.0257878,0.00384516,0.0361662,0.000104273,0.000437365,2.08167e-17,-0.645023,1.36418,0.220575,0.0153483,0.0201472,0.0532356,
5.62832,0.207714,-0.0280448,0.00327547,0.0361662,-0.00225701,-0.000569698,-6.93889e-18,-0.645701,1.36254,0.224036,0.0182909,0.0205966,0.0520943,
5.63723,0.208042,-0.0280664,0.00327119,0.0361662,-2.15804e-05,-4.27593e-06,0,-0.646083,1.36149,0.226372,0.0181626,0.016988,0.0519411,
5.64759,0.208103,-0.0282062,0.00420381,0.0361662,-0.000139829,0.000932622,6.93889e-18,-0.646297,1.36095,0.227407,0.0187562,0.0170999,0.0515547,
5.66437,0.208304,-0.0284505,0.00420578,0.0361662,-0.000244276,1.97043e-06,-2.08167e-17,-0.646297,1.36095,0.227407,0.0187562,0.0170999,0.0515547,
5.66881,0.210732,-0.0255346,0.00634172,0.0361662,0.00291584,0.00213594,6.93889e-18,-0.646947,1.35904,0.230888,0.020333,0.0226256,0.0519918,
5.67728,0.210634,-0.0262093,0.00512268,0.0361662,-0.000674613,-0.00121903,-6.93889e-18,-0.646947,1.35904,0.230888,0.020333,0.0226256,0.0519918,
5.69299,0.210961,-0.0262301,0.00511877,0.0361662,-2.0843e-05,-3.90994e-06,1.38778e-17,-0.647783,1.35707,0.23419,0.0145478,0.0211165,0.0510315,
5.69754,0.212748,-0.0306226,0.0046511,0.0361662,-0.00439248,-0.000467675,0,-0.647783,1.35707,0.23419,0.0145478,0.0211165,0.0510315,
5.70769,0.213073,-0.0306438,0.00464735,0.0361662,-2.12156e-05,-3.75057e-06,0,-0.648168,1.35602,0.235921,0.0110726,0.022547,0.0517372,
5.71967,0.213359,-0.0299651,0.00437878,0.0361662,0.00067872,-0.000268572,6.93889e-18,-0.648577,1.35478,0.237607,0.00902894,0.0233857,0.0518594,
5.73153,0.214329,-0.0295985,0.00548532,0.0361662,0.000366626,0.00110654,-6.93889e-18,-0.649004,1.3539,0.238969,0.00846769,0.0189073,0.0511365,
5.73689,0.214654,-0.0296173,0.0054813,0.0361662,-1.88472e-05,-4.01613e-06,-6.93889e-18,-0.649004,1.3539,0.238969,0.00846769,0.0189073,0.0511365,
5.74762,0.214831,-0.0296332,0.00665373,0.0361662,-1.59172e-05,0.00117243,0,-0.649638,1.35276,0.240517,0.0115196,0.0213869,0.0520621,
5.76159,0.214894,-0.0305673,0.0061667,0.0361662,-0.000934067,-0.000487029,6.93889e-18,-0.650645,1.35074,0.243072,0.0100936,0.0222358,0.0512545,
5.76711,0.215899,-0.0307248,0.00775056,0.0361662,-0.000157506,0.00158386,-6.93889e-18,-0.650645,1.35074,0.243072,0.0100936,0.0222358,0.0512545,
5.77733,0.216224,-0.0307444,0.00774806,0.0361662,-1.96365e-05,-2.5014e-06,6.93889e-18,-0.651012,1.34985,0.244209,0.0114802,0.0226735,0.0517177,
5.7942,0.216367,-0.0312367,0.0077135,0.0361662,-0.000492273,-3.4562e-05,0,-0.652096,1.34778,0.246864,0.0133022,0.0254701,0.052125,
5.79731,0.216598,-0.0311907,0.00842357,0.0361662,4.60039e-05,0.000710073,-6.93889e-18,-0.652096,1.34778,0.246864,0.0133022,0.0254701,0.052125,
5.80822,0.216923,-0.0312115,0.00842043,0.0361662,-2.07623e-05,-3.14497e-06,0,-0.652765,1.34646,0.248501,0.00745915,0.0267242,0.0501243,
5.82446,0.217288,-0.0306932,0.00812734,0.0361662,0.000518276,-0.000293091,1.38778e-17,-0.653339,1.34548,0.249613,0.00849148,0.02632,0.0512989,
5.8285,0.218124,-0.0321992,0.00721877,0.0361662,-0.00150604,-0.000908568,-6.93889e-18,-0.653689,1.3449,0.250342,0.00695018,0.0260065,0.0512345,
5.83686,0.218449,-0.0322189,0.00721466,0.0361662,-1.97107e-05,-4.10583e-06,6.93889e-18,-0.653804,1.34466,0.250617,0.008151,0.0261527,0.0512452,
5.84759,0.218677,-0.032278,0.00733534,0.0361662,-5.90209e-05,0.000120683,0,-0.654215,1.34379,0.251537,0.00932095,0.0280191,0.0515758,
5.86199,0.218897,-0.032722,0.00693894,0.0361662,-0.000444018,-0.00039641,-1.38778e-17,-0.655341,1.34196,0.253793,0.00714275,0.0250072,0.0505557,
5.86736,0.2193,-0.0315123,0.00967442,0.0361662,0.00120968,0.00273548,1.38778e-17,-0.655341,1.34196,0.253793,0.00714275,0.0250072,0.0505557,
5.87747,0.219619,-0.0315307,0.00967201,0.0361662,-1.84564e-05,-2.40783e-06,-1.38778e-17,-0.655752,1.34119,0.25472,0.00667907,0.0213485,0.0509632,
5.89183,0.219827,-0.0315433,0.0106889,0.0361662,-1.25426e-05,0.00101685,6.93889e-18,-0.656813,1.33945,0.257002,0.00735727,0.0218994,0.0504757,
5.89729,0.219161,-0.0300963,0.0107862,0.0361662,0.001447,9.73256e-05,0,-0.656813,1.33945,0.257002,0.00735727,0.0218994,0.0504757,
5.90806,0.219486,-0.0301145,0.0107853,0.0361662,-1.81657e-05,-9.17929e-07,6.93889e-18,-0.657331,1.33869,0.25821,0.00985899,0.0217082,0.0525306,
5.92048,0.219573,-0.0308491,0.0109712,0.0361662,-0.000734641,0.000185915,-1.38778e-17,-0.658386,1.33678,0.260391,0.00825988,0.0242327,0.0521213,
5.93258,0.218768,-0.0329819,0.0110464,0.0361662,-0.00213278,7.52018e-05,-6.93889e-18,-0.658852,1.336,0.261638,0.00644919,0.0253314,0.0510062,
5.93724,0.219093,-0.0330019,0.0110449,0.0361662,-1.99857e-05,-1.46447e-06,1.38778e-17,-0.658852,1.336,0.261638,0.00644919,0.0253314,0.0510062,
5.94704,0.219373,-0.0326962,0.010818,0.0361662,0.000305655,-0.000226937,6.93889e-18,-0.659504,1.33511,0.262894,0.00875513,0.0255322,0.0499782,
5.96181,0.219455,-0.0334447,0.0108512,0.0361662,-0.000748524,3.32304e-05,-6.93889e-18,-0.660494,1.33348,0.265488,0.00436924,0.0298258,0.0536022,
5.96703,0.219666,-0.0276938,0.0121223,0.0361662,0.00575089,0.00127108,6.93889e-18,-0.660494,1.33348,0.265488,0.00436924,0.0298258,0.0536022,
5.97696,0.219989,-0.0277097,0.0121197,0.0361662,-1.58572e-05,-2.62137e-06,-1.38778e-17,-0.661212,1.33258,0.266754,0.00482122,0.0283317,0.052508,
5.99254,0.220142,-0.0279911,0.0126004,0.0361662,-0.000281388,0.000480736,0,-0.662244,1.33086,0.269444,0.00635729,0.0263324,0.0516489,
5.99794,0.219125,-0.031188,0.013419,0.0361662,-0.00319694,0.000818641,6.93889e-18,-0.662702,1.33018,0.270427,0.00645371,0.0266681,0.0519969,
6.00731,0.21945,-0.0312065,0.0134182,0.0361662,-1.84454e-05,-8.63442e-07,6.93889e-18,-0.662884,1.32991,0.270915,0.00749832,0.0271042,0.0525904,
6.01832,0.219575,-0.0316385,0.0133552,0.0361662,-0.000431997,-6.29625e-05,-6.93889e-18,-0.664038,1.32834,0.273931,0.00572581,0.0245085,0.0517144,
6.03185,0.219733,-0.0317076,0.0137146,0.0361662,-6.90963e-05,0.000359377,0,-0.664692,1.32743,0.275419,0.0062292,0.0268319,0.0519068,
6.03692,0.218419,-0.0298287,0.0160835,0.0361662,0.00187889,0.00236892,0,-0.664692,1.32743,0.275419,0.0062292,0.0268319,0.0519068,
6.04706,0.218599,-0.0301051,0.0156121,0.0361662,-0.000276445,-0.000471391,0,-0.665271,1.3266,0.276971,0.00793422,0.0282188,0.0527028,
6.06225,0.218707,-0.0306588,0.0153787,0.0361662,-0.000553692,-0.000233448,0,-0.666585,1.32481,0.280313,0.00686824,0.0260591,0.0525016,
6.06746,0.217887,-0.0327479,0.0140893,0.0361662,-0.0020891,-0.00128936,0,-0.666585,1.32481,0.280313,0.00686824,0.0260591,0.0525016,
6.0777,0.218213,-0.0327675,0.014089,0.0361662,-1.96091e-05,-3.46105e-07,-6.93889e-18,-0.667194,1.32405,0.281916,0.00629977,0.0270118,0.0528101,
6.09318,0.218403,-0.0327482,0.0139606,0.0361662,1.93581e-05,-0.000128384,0,-0.668708,1.32199,0.285818,0.00765654,0.0280132,0.0528776,
6.09794,0.217627,-0.0307687,0.017199,0.0361662,0.00197947,0.00323844,6.93889e-18,-0.669019,1.32135,0.286836,0.00766952,0.0294762,0.0522121,
6.10761,0.217953,-0.0307875,0.0171998,0.0361662,-1.87833e-05,7.42856e-07,6.93889e-18,-0.669019,1.32135,0.286836,0.00766952,0.0294762,0.0522121,
6.11844,0.21819,-0.0309196,0.0168694,0.0361662,-0.000132145,-0.000330409,-1.38778e-17,-0.670383,1.31943,0.290497,0.0114364,0.0280665,0.0526754,
6.13301,0.217602,-0.0353977,0.0160552,0.0361662,-0.00447813,-0.000814179,6.93889e-18,-0.671021,1.31863,0.292311,0.0103345,0.0270962,0.0522898,
6.13718,0.217634,-0.0362175,0.0157808,0.0361662,-0.000819778,-0.000274384,-6.93889e-18,-0.671021,1.31863,0.292311,0.0103345,0.0270962,0.0522898,
6.14694,0.2178,-0.0360822,0.0161266,0.0361662,0.000135299,0.000345856,6.93889e-18,-0.671764,1.31782,0.29405,0.00845023,0.0259952,0.0522564,
6.16204,0.218009,-0.0357464,0.0165336,0.0361662,0.00033585,0.000406977,0,-0.673231,1.31594,0.297772,0.0058153,0.0265233,0.0526313,
6.16714,0.217259,-0.0333701,0.0185196,0.0361662,0.00237626,0.00198598,-6.93889e-18,-0.673231,1.31594,0.297772,0.0058153,0.0265233,0.0526313,
6.17819,0.217418,-0.0334029,0.0185549,0.0361662,-3.27893e-05,3.52491e-05,6.93889e-18,-0.674618,1.31395,0.301762,0.00611911,0.027638,0.0523805,
6.19218,0.217632,-0.0330416,0.0192299,0.0361662,0.000361292,0.000675037,0,-0.675214,1.31314,0.303786,0.00515992,0.0285556,0.0534426,
6.19838,0.216162,-0.0350055,0.0183989,0.0361662,-0.00196394,-0.000831006,0,-0.675869,1.31234,0.305686,0.00454669,0.0305849,0.0528033,
6.20722,0.216488,-0.0350261,0.0184002,0.0361662,-2.05316e-05,1.34708e-06,-6.93889e-18,-0.675869,1.31234,0.305686,0.00454669,0.0305849,0.0528033,
6.21907,0.216672,-0.0350216,0.0179861,0.0361662,4.47642e-06,-0.000414134,6.93889e-18,-0.677277,1.3104,0.310047,0.00705747,0.0304446,0.0531954,
6.23269,0.215322,-0.0367522,0.0180579,0.0361662,-0.00173064,7.18369e-05,0,-0.678027,1.30948,0.312219,0.00299696,0.0316088,0.05384,
6.23689,0.215647,-0.0367743,0.0180586,0.0361662,-2.20865e-05,6.51162e-07,0,-0.678027,1.30948,0.312219,0.00299696,0.0316088,0.05384,
6.24815,0.215961,-0.0359058,0.0179187,0.0361662,0.000868565,-0.000139839,6.93889e-18,-0.67906,1.3082,0.315026,0.00415164,0.0300449,0.054273,
6.26147,0.216012,-0.0364013,0.018192,0.0361662,-0.000495507,0.00027327,-6.93889e-18,-0.680263,1.30666,0.318625,0.00356778,0.0322238,0.0549764,
6.26821,0.21553,-0.0346232,0.0210209,0.0361662,0.0017781,0.00282884,-6.93889e-18,-0.681125,1.3058,0.320821,0.00461088,0.0302516,0.0547167,
6.27765,0.215855,-0.0346431,0.0210226,0.0361662,-1.98887e-05,1.72203e-06,6.93889e-18,-0.681125,1.3058,0.320821,0.00461088,0.0302516,0.0547167,
6.29204,0.215846,-0.035043,0.0216548,0.0361662,-0.000399979,0.000632256,-1.38778e-17,-0.682947,1.30353,0.326173,0.00366755,0.028931,0.0535616,
6.29746,0.215189,-0.0371478,0.0206233,0.0361662,-0.00210477,-0.00103158,2.08167e-17,-0.682947,1.30353,0.326173,0.00366755,0.028931,0.0535616,
6.30738,0.215514,-0.0371691,0.0206258,0.0361662,-2.13079e-05,2.52195e-06,0,-0.683422,1.30285,0.327649,0.00371234,0.0281616,0.0549125,
6.31808,0.21566,-0.0372644,0.0209428,0.0361662,-9.53186e-05,0.000317047,-6.93889e-18,-0.684175,1.30206,0.32983,0.00596443,0.0285017,0.0562485,
6.33162,0.21564,-0.0379177,0.0210252,0.0361662,-0.000653244,8.23917e-05,0,-0.685769,1.30012,0.33449,0.00224826,0.028233,0.0562539,
6.33744,0.215113,-0.0384956,0.0212165,0.0361662,-0.00057795,0.000191267,-6.93889e-18,-0.685769,1.30012,0.33449,0.00224826,0.028233,0.0562539,
6.34708,0.215183,-0.0384929,0.0217183,0.0361662,2.68025e-06,0.00050177,6.93889e-18,-0.686474,1.29919,0.336715,0.0010801,0.0307665,0.055759,
6.36228,0.215403,-0.0383701,0.021195,0.0361662,0.000122804,-0.000523261,0,-0.688179,1.29722,0.341475,0.00119625,0.0305498,0.0559464,
6.36816,0.215344,-0.0342703,0.0238856,0.0361662,0.00409987,0.00269058,-6.93889e-18,-0.688845,1.29639,0.343705,0.000154475,0.0320682,0.05605,
6.37777,0.215664,-0.0342889,0.0238893,0.0361662,-1.86721e-05,3.74408e-06,6.93889e-18,-0.688845,1.29639,0.343705,0.000154475,0.0320682,0.05605,
6.39313,0.215836,-0.0341636,0.0236302,0.0361662,0.000125302,-0.000259125,0,-0.6906,1.29449,0.348415,-0.00216573,0.0327556,0.0572803,
6.3979,0.215458,-0.0368801,0.0234158,0.0361662,-0.00271649,-0.000214424,0,-0.691142,1.29391,0.350069,0.000757005,0.0317494,0.0574191,
6.40843,0.215784,-0.0368996,0.0234187,0.0361662,-1.94674e-05,2.89732e-06,-6.93889e-18,-0.692202,1.29262,0.3532,-3.53498e-05,0.0310792,0.0569213,
