t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.01794,0.223123,-0.0156155,-0.00638178,-0.0293172,-0.0156648,-0.0174035,3.46945e-18,-0.353785,1.45934,0.1082,0.0480935,0.0147417,-0.0270954,
5.02191,0.223405,-0.0160557,-0.00642485,-0.0293172,-0.000440256,-4.30714e-05,-3.46945e-18,-0.353764,1.45921,0.108252,0.048344,0.0146026,-0.0266257,
5.03146,0.223716,-0.0161656,-0.00639898,-0.0293172,-0.000109919,2.58696e-05,0,-0.353764,1.45921,0.108252,0.048344,0.0146026,-0.0266257,
5.04186,0.224041,-0.0161886,-0.00640669,-0.0293172,-2.2959e-05,-7.7124e-06,3.46945e-18,-0.353762,1.45915,0.108315,0.0489874,0.0150707,-0.0270208,
5.05245,0.224089,-0.0159539,-0.00604909,-0.0293172,0.000234669,0.000357602,-1.04083e-17,-0.353735,1.45911,0.108542,0.0472485,0.0148822,-0.0265504,
5.06174,0.224378,-0.0161011,-0.00608403,-0.0293172,-0.00014719,-3.49396e-05,6.93889e-18,-0.353857,1.45902,0.108593,0.0500403,0.0144499,-0.0267113,
5.07135,0.224703,-0.0161238,-0.00609168,-0.0293172,-2.2626e-05,-7.64665e-06,3.46945e-18,-0.353857,1.45902,0.108593,0.0500403,0.0144499,-0.0267113,
5.08267,0.224731,-0.0156771,-0.00590753,-0.0293172,0.000446689,0.000184144,-3.46945e-18,-0.353856,1.45903,0.108772,0.0493272,0.0152633,-0.0264928,
5.09201,0.225046,-0.0155115,-0.00612776,-0.0293172,0.000165583,-0.000220223,3.46945e-18,-0.353918,1.45895,0.108926,0.0493277,0.0159675,-0.0262459,
5.10193,0.225346,-0.0155458,-0.00630978,-0.0293172,-3.43035e-05,-0.000182028,-6.93889e-18,-0.353892,1.45897,0.109076,0.0502995,0.0165594,-0.0256407,
5.1161,0.224867,-0.0172828,-0.0064284,-0.0293172,-0.00173705,-0.000118612,6.93889e-18,-0.353939,1.4588,0.109348,0.0513108,0.0169252,-0.0254813,
5.12206,0.225066,-0.0178772,-0.00657985,-0.0293172,-0.000594408,-0.000151459,0,-0.35403,1.4586,0.10962,0.0531684,0.0171382,-0.0243458,
5.13174,0.22539,-0.0179019,-0.00658834,-0.0293172,-2.46766e-05,-8.48983e-06,0,-0.35403,1.4586,0.10962,0.0531684,0.0171382,-0.0243458,
5.14297,0.224413,-0.0199631,-0.00470737,-0.0293172,-0.00206118,0.00188097,-6.93889e-18,-0.354157,1.45837,0.110409,0.0562418,0.0184384,-0.0222661,
5.15237,0.224526,-0.0208169,-0.00502228,-0.0293172,-0.000853838,-0.000314902,0,-0.354219,1.45811,0.110772,0.0561159,0.0208826,-0.0220936,
5.16133,0.224853,-0.0208448,-0.00503051,-0.0293172,-2.78957e-05,-8.23215e-06,3.46945e-18,-0.354219,1.45811,0.110772,0.0561159,0.0208826,-0.0220936,
5.17253,0.225112,-0.0208775,-0.00566943,-0.0293172,-3.2702e-05,-0.000638925,0,-0.354493,1.45756,0.111757,0.0559338,0.0170951,-0.0210687,
5.18381,0.224099,-0.0231984,-0.00479362,-0.0293172,-0.00232085,0.000875812,0,-0.354841,1.45727,0.112206,0.0554457,0.0202095,-0.020831,
5.19185,0.224348,-0.0231427,-0.00555758,-0.0293172,5.57108e-05,-0.000763954,-3.46945e-18,-0.354736,1.45708,0.112805,0.0514542,0.0131912,-0.0210831,
5.20209,0.224672,-0.0231713,-0.00556657,-0.0293172,-2.86601e-05,-8.9915e-06,3.46945e-18,-0.354923,1.45667,0.113565,0.0482148,0.0117576,-0.0208455,
5.21527,0.222545,-0.0215207,-0.00207709,-0.0293172,0.00165063,0.00348948,0,-0.355151,1.4563,0.114355,0.0467056,0.0111082,-0.0207788,
5.22143,0.222837,-0.0212129,-0.00187582,-0.0293172,0.000307782,0.000201266,0,-0.355151,1.4563,0.114355,0.0467056,0.0111082,-0.0207788,
5.23201,0.223162,-0.021238,-0.00188017,-0.0293172,-2.50848e-05,-4.34235e-06,-3.46945e-18,-0.355621,1.45539,0.116273,0.0431895,0.0121279,-0.0211737,
5.24298,0.22049,-0.0223951,0.000716244,-0.0293172,-0.00115706,0.00259641,0,-0.355818,1.45487,0.117142,0.0413017,0.0137896,-0.0215905,
5.25218,0.220652,-0.0221994,3.10411e-05,-0.0293172,0.000195627,-0.000685203,0,-0.355845,1.4547,0.117508,0.0404947,0.0136792,-0.0217003,
5.26147,0.220964,-0.0220428,5.84532e-05,-0.0293172,0.00015667,2.74121e-05,3.46945e-18,-0.355845,1.4547,0.117508,0.0404947,0.0136792,-0.0217003,
5.27192,0.22129,-0.0220666,5.4313e-05,-0.0293172,-2.38563e-05,-4.14017e-06,-6.93889e-18,-0.356578,1.45345,0.120763,0.0343666,0.0145231,-0.0212162,
5.28325,0.216669,-0.024074,0.000914056,-0.0293172,-0.00200734,0.000859743,1.04083e-17,-0.356984,1.45281,0.12292,0.033577,0.0197515,-0.0221199,
5.29177,0.216665,-0.0239467,-0.0005277,-0.0293172,0.000127268,-0.00144176,0,-0.357156,1.45255,0.123472,0.0370038,0.0194358,-0.0208405,
5.30197,0.216799,-0.0248577,-0.000409292,-0.0293172,-0.000911001,0.000118408,0,-0.357407,1.45214,0.124893,0.04008,0.014775,-0.0200654,
