t,f,r,p,y,dr,dp,dy,gt_x,gt_y,gt_z,gt_r,gt_p,gt_y,
5.0057,0.221593,-0.00533345,-0.00818047,0.0539412,0.00110158,-0.0324252,2.08167e-17,-0.462093,1.17745,0.107748,0.02799,0.0280306,0.0555504,
5.01477,0.22192,-0.00534478,-0.00819331,0.0539412,-1.13279e-05,-1.28353e-05,-6.93889e-18,-0.462055,1.17748,0.107798,0.0278562,0.0283389,0.0557174,
5.03126,0.221172,-0.00568534,-0.00820983,0.0539412,-0.000340556,-1.65244e-05,0,-0.462103,1.17744,0.10787,0.0267306,0.029382,0.0550066,
5.03392,0.221443,-0.00541278,-0.00847975,0.0539412,0.000272557,-0.000269917,-6.93889e-18,-0.462033,1.17743,0.107831,0.0274613,0.0291846,0.0559805,
5.04415,0.221765,-0.00561405,-0.00845492,0.0539412,-0.000201269,2.48304e-05,1.38778e-17,-0.461989,1.17745,0.10793,0.0272964,0.0296928,0.0551901,
5.05437,0.221665,-0.00647297,-0.00904736,0.0539412,-0.000858926,-0.000592438,-1.38778e-17,-0.461978,1.17725,0.108058,0.0292171,0.0301979,0.055893,
5.06444,0.221939,-0.00700992,-0.00919015,0.0539412,-0.000536945,-0.000142794,0,-0.461967,1.17723,0.108102,0.0298076,0.030327,0.0559923,
5.07419,0.222248,-0.0071782,-0.00923858,0.0539412,-0.000168278,-4.84306e-05,6.93889e-18,-0.461897,1.17718,0.108236,0.0303866,0.0298393,0.055945,
5.08448,0.221735,-0.00909888,-0.00900565,0.0539412,-0.00192069,0.000232933,0,-0.461932,1.17703,0.108444,0.0322981,0.0290084,0.0560601,
5.09566,0.222017,-0.00962644,-0.00879628,0.0539412,-0.000527556,0.000209374,6.93889e-18,-0.462019,1.1768,0.108832,0.0365182,0.0273637,0.0569008,
5.10449,0.222242,-0.0107629,-0.00836408,0.0539412,-0.00113645,0.000432199,0,-0.462008,1.17658,0.109188,0.0395654,0.0272959,0.0557572,
5.11472,0.222463,-0.0115981,-0.00835664,0.0539412,-0.000835178,7.43321e-06,-6.93889e-18,-0.462144,1.17616,0.109696,0.0431061,0.0255525,0.0562175,
5.12711,0.220669,-0.0158266,-0.005903,0.0539412,-0.00422849,0.00245364,-6.93889e-18,-0.4622,1.17576,0.110116,0.0467835,0.0238714,0.0580408,
5.13475,0.220857,-0.0168459,-0.00545926,0.0539412,-0.00101935,0.000443743,1.38778e-17,-0.462256,1.17541,0.110451,0.0490069,0.025311,0.0578934,
5.14491,0.221054,-0.0174894,-0.00582487,0.0539412,-0.000643466,-0.000365612,-1.38778e-17,-0.462372,1.17506,0.110927,0.0520973,0.0236481,0.0591291,
5.15998,0.219548,-0.0216439,-0.0047476,0.0539412,-0.00415454,0.00107727,6.93889e-18,-0.462465,1.17467,0.111405,0.0518958,0.0241002,0.0592464,
5.16554,0.219819,-0.0216781,-0.00485169,0.0539412,-3.4213e-05,-0.000104093,0,-0.462518,1.17421,0.111862,0.0520535,0.0231611,0.0598466,
5.17474,0.220093,-0.0218147,-0.00460251,0.0539412,-0.000136565,0.000249186,-1.38778e-17,-0.462608,1.17361,0.112314,0.0500269,0.0248988,0.0604273,
5.18488,0.220927,-0.0243429,-0.00432232,0.0539412,-0.00252818,0.000280183,1.38778e-17,-0.462832,1.1732,0.112702,0.0498286,0.0240809,0.0598365,
5.19711,0.221239,-0.0243841,-0.00408579,0.0539412,-4.12856e-05,0.000236536,0,-0.463042,1.17253,0.113281,0.0473022,0.0225489,0.0597205,
5.20441,0.221592,-0.0238672,-0.00365967,0.0539412,0.000516912,0.000426116,0,-0.463283,1.17218,0.11364,0.0449045,0.0215137,0.0604792,
5.21489,0.221978,-0.0233318,-0.00335118,0.0539412,0.000535425,0.000308494,0,-0.463491,1.17174,0.114008,0.04563,0.0196173,0.059569,
5.23914,0.222067,-0.0207712,0.000721064,0.0539412,0.00256058,0.00407224,6.93889e-18,-0.463872,1.17049,0.115397,0.0386699,0.0191478,0.0631155,
5.24471,0.222365,-0.0205021,0.000687563,0.0539412,0.000269119,-3.35011e-05,0,-0.464042,1.16985,0.115932,0.0354832,0.0180479,0.0637111,
5.25997,0.221048,-0.0220387,0.00243444,0.0539412,-0.00153663,0.00174687,-1.38778e-17,-0.464327,1.16922,0.116689,0.0347499,0.0192916,0.0628049,
5.26556,0.221309,-0.0219715,0.00215391,0.0539412,6.71839e-05,-0.000280523,1.38778e-17,-0.464617,1.16853,0.117478,0.0347564,0.0186973,0.0632687,
5.27393,0.221544,-0.0220967,0.00236292,0.0539412,-0.00012516,0.00020901,-1.38778e-17,-0.464784,1.16783,0.118316,0.0359532,0.018324,0.0642232,
5.28492,0.22173,-0.0225258,0.00250069,0.0539412,-0.000429118,0.000137763,2.08167e-17,-0.464997,1.16729,0.119039,0.0392018,0.0206462,0.0651836,
5.29694,0.218685,-0.0282762,0.000688967,0.0539412,-0.00575042,-0.00181172,-2.08167e-17,-0.465468,1.16593,0.120842,0.0374079,0.0189187,0.0663046,
5.30493,0.218875,-0.0280453,0.00123375,0.0539412,0.000230897,0.000544784,0,-0.465616,1.16549,0.121581,0.0392783,0.019799,0.0666764,
5.31531,0.217791,-0.0249499,0.00354972,0.0539412,0.00309541,0.00231597,-6.93889e-18,-0.466043,1.1645,0.123232,0.0371958,0.0224132,0.0670584,
5.32692,0.218013,-0.0245923,0.00296984,0.0539412,0.000357598,-0.000579888,6.93889e-18,-0.466279,1.16379,0.124481,0.0333626,0.0206912,0.0664902,
5.33517,0.218346,-0.0237607,0.00344216,0.0539412,0.000831613,0.000472328,1.38778e-17,-0.466434,1.16331,0.125351,0.0323239,0.0192499,0.0663618,
5.34514,0.218604,-0.0235922,0.00383405,0.0539412,0.000168549,0.000391886,0,-0.466738,1.16256,0.126771,0.0301419,0.0213166,0.0672968,
5.35651,0.215729,-0.0256829,0.00249485,0.0539412,-0.00209074,-0.0013392,0,-0.467127,1.16174,0.128206,0.0305924,0.0213261,0.0672722,
5.36571,0.215875,-0.0259342,0.00256093,0.0539412,-0.000251339,6.60877e-05,-1.38778e-17,-0.467407,1.16099,0.129636,0.0295999,0.0209457,0.0678986,
5.3741,0.216079,-0.0258142,0.00271621,0.0539412,0.000119998,0.000155274,6.93889e-18,-0.467773,1.16025,0.131335,0.029477,0.0211852,0.0682068,
5.38467,0.215056,-0.0241561,0.00362145,0.0539412,0.0016581,0.000905237,6.93889e-18,-0.4681,1.1594,0.133068,0.0276672,0.021086,0.0686591,
5.39739,0.215274,-0.0238491,0.0037122,0.0539412,0.000307096,9.07584e-05,-6.93889e-18,-0.468313,1.15868,0.134712,0.027643,0.0216988,0.0691103,
5.4043,0.215399,-0.023962,0.00360573,0.0539412,-0.000112905,-0.000106475,6.93889e-18,-0.468756,1.15779,0.136428,0.0302619,0.0266166,0.0692545,
5.41498,0.215434,-0.0247551,0.00245742,0.0539412,-0.000793101,-0.00114831,-1.38778e-17,-0.469126,1.15694,0.137891,0.033369,0.0256731,0.0676395,
5.43148,0.21388,-0.0283816,0.00242548,0.0539412,-0.00362649,-3.19395e-05,6.93889e-18,-0.469349,1.15618,0.139757,0.0307865,0.0228676,0.0695404,
5.43493,0.214068,-0.0278613,0.0031957,0.0539412,0.000520252,0.000770213,-2.08167e-17,-0.469638,1.15539,0.141416,0.0292677,0.0218705,0.0686975,
5.44521,0.21427,-0.0276305,0.0034822,0.0539412,0.0002308,0.000286503,2.08167e-17,-0.469985,1.15444,0.143168,0.0299638,0.0229222,0.0689606,
5.4614,0.214036,-0.0295884,0.00187216,0.0539412,-0.00195787,-0.00161004,6.93889e-18,-0.470338,1.15361,0.145065,0.0290015,0.0254816,0.0695952,
5.46558,0.214188,-0.029487,0.00131129,0.0539412,0.000101406,-0.000560871,-2.08167e-17,-0.470683,1.15266,0.146679,0.0274818,0.0250211,0.069906,
5.47454,0.2144,-0.0292714,0.00149388,0.0539412,0.000215527,0.000182593,2.08167e-17,-0.471021,1.15188,0.148358,0.0273437,0.0252685,0.0700138,
5.48437,0.214766,-0.0296694,0.000207242,0.0539412,-0.000397924,-0.00128664,-2.08167e-17,-0.471318,1.1511,0.150086,0.0264232,0.0234462,0.0699837,
5.49607,0.214945,-0.0295761,0.0007144,0.0539412,9.32248e-05,0.000507158,1.38778e-17,-0.47181,1.14988,0.152489,0.0271634,0.0236257,0.0706743,
5.50408,0.214969,-0.0299518,0.000774335,0.0539412,-0.000375662,5.99344e-05,0,-0.472033,1.14929,0.15369,0.0296272,0.0254969,0.0708257,
5.51482,0.215042,-0.0306643,0.000348937,0.0539412,-0.000712528,-0.000425397,-1.38778e-17,-0.472192,1.14841,0.155363,0.0261205,0.0251122,0.0712691,
5.52903,0.215487,-0.0280134,0.00394435,0.0539412,0.00265097,0.00359541,1.38778e-17,-0.472674,1.14719,0.157639,0.0262048,0.0235051,0.0711845,
5.53545,0.21554,-0.0282317,0.0044353,0.0539412,-0.000218316,0.000490956,-6.93889e-18,-0.473011,1.14658,0.158711,0.0271647,0.0245953,0.0716988,
5.54885,0.215708,-0.0285739,0.00422955,0.0539412,-0.000342182,-0.000205759,2.08167e-17,-0.473338,1.14573,0.160242,0.0275656,0.023181,0.0714518,
5.56102,0.217101,-0.0292484,0.00276887,0.0539412,-0.000674503,-0.00146067,-2.08167e-17,-0.473709,1.14482,0.161858,0.0252389,0.0226507,0.0719832,
5.57641,0.217316,-0.0288165,0.00298094,0.0539412,0.000431809,0.000212065,0,-0.474292,1.14293,0.164971,0.0241026,0.0239696,0.0719151,
5.58561,0.218426,-0.0310299,0.0029367,0.0539412,-0.00221334,-4.42368e-05,-6.93889e-18,-0.474606,1.1423,0.16612,0.0220774,0.0247738,0.0711675,
5.60512,0.219045,-0.0306634,0.00276496,0.0539412,0.000366493,-0.000171738,6.93889e-18,-0.474606,1.1423,0.16612,0.0220774,0.0247738,0.0711675,
5.60705,0.219263,-0.0306788,0.00276091,0.0539412,-1.54016e-05,-4.05711e-06,0,-0.474606,1.1423,0.16612,0.0220774,0.0247738,0.0711675,
5.61673,0.220133,-0.0328819,0.00263606,0.0539412,-0.00220309,-0.000124849,0,-0.475633,1.13953,0.170217,0.0216798,0.0204255,0.0715248,
5.62522,0.220013,-0.0332088,0.00395884,0.0539412,-0.000326916,0.00132278,1.38778e-17,-0.476141,1.13823,0.172204,0.0237103,0.0180248,0.0718685,
5.63936,0.220017,-0.0339338,0.00467792,0.0539412,-0.000724966,0.00071908,-6.93889e-18,-0.476708,1.13685,0.174126,0.0230395,0.0180023,0.0718642,
5.64595,0.22015,-0.03399,0.00479044,0.0539412,-5.62725e-05,0.000112522,0,-0.47704,1.1362,0.174998,0.0224503,0.0183488,0.0720043,
5.65514,0.220406,-0.0339597,0.00476402,0.0539412,3.03615e-05,-2.64221e-05,1.38778e-17,-0.477334,1.13533,0.176191,0.0206807,0.0188355,0.0733545,
5.66592,0.221514,-0.0316646,0.00481074,0.0539412,0.00229507,4.67242e-05,-1.38778e-17,-0.477746,1.1345,0.177382,0.0199188,0.0180483,0.0716165,
5.67474,0.221735,-0.0316291,0.00505118,0.0539412,3.55134e-05,0.000240438,-1.38778e-17,-0.478153,1.13341,0.178765,0.0195632,0.0172574,0.072503,
5.68545,0.221919,-0.0317158,0.00535242,0.0539412,-8.66813e-05,0.000301234,-6.93889e-18,-0.478511,1.13251,0.180042,0.0162193,0.0189237,0.0725356,
5.69622,0.222739,-0.0307308,0.00627626,0.0539412,0.00098498,0.000923842,1.38778e-17,-0.47875,1.1319,0.180757,0.0181843,0.0186796,0.07105,
5.7106,0.222894,-0.0313638,0.00635051,0.0539412,-0.000633042,7.42522e-05,6.93889e-18,-0.479267,1.13045,0.182364,0.0125007,0.020159,0.0723365,
5.71507,0.223291,-0.0301296,0.00609503,0.0539412,0.00123427,-0.000255485,-6.93889e-18,-0.479577,1.1298,0.183119,0.0136335,0.021369,0.0730937,
5.72527,0.22484,-0.0306297,0.00692959,0.0539412,-0.000500112,0.000834567,0,-0.48005,1.12863,0.184511,0.0141704,0.0214463,0.071981,
5.73791,0.225027,-0.0309807,0.00697309,0.0539412,-0.000351014,4.35e-05,0,-0.480701,1.1273,0.185914,0.0182807,0.0211619,0.0710614,
5.74447,0.224967,-0.0322777,0.00714644,0.0539412,-0.00129697,0.000173351,1.38778e-17,-0.480752,1.12694,0.186342,0.0170378,0.0217575,0.0725017,
5.75583,0.226047,-0.0347286,0.00575948,0.0539412,-0.00245093,-0.00138697,6.93889e-18,-0.481241,1.12565,0.18773,0.0149134,0.0194735,0.0727128,
5.76613,0.226306,-0.03439,0.00646273,0.0539412,0.000338576,0.000703256,-1.38778e-17,-0.48174,1.12464,0.188818,0.0166581,0.0177725,0.072923,
5.77434,0.226415,-0.0350179,0.00700991,0.0539412,-0.000627937,0.000547178,0,-0.482173,1.12367,0.18974,0.0172587,0.0167774,0.0743895,
